date,sku,sales
2023-01-01,A,50
2023-01-01,B,200
2023-01-01,C,10
2023-01-02,A,50
2023-01-02,B,200
2023-01-02,C,10
2023-01-03,A,50
2023-01-03,B,200
2023-01-03,C,10
2023-01-04,A,50
2023-01-04,B,200
2023-01-04,C,10
2023-01-05,A,50
2023-01-05,B,200
2023-01-05,C,10
2023-01-06,A,50
2023-01-06,B,200
2023-01-06,C,10
2023-01-07,A,50
2023-01-07,B,200
2023-01-07,C,10
2023-01-08,A,50
2023-01-08,B,200
2023-01-08,C,10
2023-01-09,A,50
2023-01-09,B,200
2023-01-09,C,10
2023-01-10,A,50
2023-01-10,B,200
2023-01-10,C,10
2023-01-11,A,50
2023-01-11,B,200
2023-01-11,C,10
2023-01-12,A,50
2023-01-12,B,200
2023-01-12,C,10
2023-01-13,A,50
2023-01-13,B,200
2023-01-13,C,10
2023-01-14,A,50
2023-01-14,B,200
2023-01-14,C,10
2023-01-15,A,50
2023-01-15,B,200
2023-01-15,C,10
2023-01-16,A,5000
2023-01-16,B,200
2023-01-16,C,10
2023-01-17,A,50
2023-01-17,B,200
2023-01-17,C,10
2023-01-18,A,50
2023-01-18,B,200
2023-01-18,C,10
2023-01-19,A,50
2023-01-19,B,200
2023-01-19,C,10
2023-01-20,A,50
2023-01-20,B,200
2023-01-20,C,10
2023-01-21,A,50
2023-01-21,B,200
2023-01-21,C,10
2023-01-22,A,50
2023-01-22,B,200
2023-01-22,C,10
2023-01-23,A,50
2023-01-23,B,200
2023-01-23,C,10
2023-01-24,A,50
2023-01-24,B,200
2023-01-24,C,10
2023-01-25,A,50
2023-01-25,B,200
2023-01-25,C,10
2023-01-26,A,50
2023-01-26,B,200
2023-01-26,C,10
2023-01-27,A,50
2023-01-27,B,200
2023-01-27,C,10
2023-01-28,A,50
2023-01-28,B,200
2023-01-28,C,10
2023-01-29,A,50
2023-01-29,B,200
2023-01-29,C,10
2023-01-30,A,50
2023-01-30,B,200
2023-01-30,C,10
2023-01-31,A,50
2023-01-31,B,50000
2023-01-31,C,10
2023-02-01,A,50
2023-02-01,B,200
2023-02-01,C,10
2023-02-02,A,50
2023-02-02,B,200
2023-02-02,C,10
2023-02-03,A,50
2023-02-03,B,200
2023-02-03,C,10
2023-02-04,A,50
2023-02-04,B,200
2023-02-04,C,10
2023-02-05,A,50
2023-02-05,B,200
2023-02-05,C,10
2023-02-06,A,50
2023-02-06,B,200
2023-02-06,C,10
2023-02-07,A,50
2023-02-07,B,200
2023-02-07,C,10
2023-02-08,A,50
2023-02-08,B,200
2023-02-08,C,10
