week,product,demand
2022-01-03,P1,300
2022-01-03,P2,150
2022-01-03,P3,80
2022-01-03,P4,500
2022-01-10,P1,320
2022-01-10,P2,170
2022-01-10,P3,100
2022-01-10,P4,520
2022-01-17,P1,340
2022-01-17,P2,190
2022-01-17,P3,120
2022-01-17,P4,540
2022-01-24,P1,360
2022-01-24,P2,210
2022-01-24,P3,140
2022-01-24,P4,560
2022-01-31,P1,300
2022-01-31,P2,150
2022-01-31,P3,80
2022-01-31,P4,500
2022-02-07,P1,320
2022-02-07,P2,170
2022-02-07,P3,100
2022-02-07,P4,520
2022-02-14,P1,340
2022-02-14,P2,190
2022-02-14,P3,120
2022-02-14,P4,540
2022-02-21,P1,360
2022-02-21,P2,210
2022-02-21,P3,140
2022-02-21,P4,560
2022-02-28,P1,300
2022-02-28,P2,150
2022-02-28,P3,80
2022-02-28,P4,500
2022-03-07,P1,320
2022-03-07,P2,170
2022-03-07,P3,100
2022-03-07,P4,520
2022-03-14,P1,340
2022-03-14,P2,190
2022-03-14,P3,120
2022-03-14,P4,540
2022-03-21,P1,360
2022-03-21,P2,210
2022-03-21,P3,140
2022-03-21,P4,560
2022-03-28,P1,300
2022-03-28,P2,150
2022-03-28,P3,80
2022-03-28,P4,500
2022-04-04,P1,320
2022-04-04,P2,170
2022-04-04,P3,100
2022-04-04,P4,520
2022-04-11,P1,340
2022-04-11,P2,190
2022-04-11,P3,120
2022-04-11,P4,540
2022-04-18,P1,360
2022-04-18,P2,210
2022-04-18,P3,140
2022-04-18,P4,560
2022-04-25,P1,300
2022-04-25,P2,150
2022-04-25,P3,80
2022-04-25,P4,500
2022-05-02,P1,320
2022-05-02,P2,170
2022-05-02,P3,100
2022-05-02,P4,520
2022-05-09,P1,340
2022-05-09,P2,190
2022-05-09,P3,120
2022-05-09,P4,540
2022-05-16,P1,360
2022-05-16,P2,210
2022-05-16,P3,140
2022-05-16,P4,560
2022-05-23,P1,300
2022-05-23,P2,150
2022-05-23,P3,80
2022-05-23,P4,500
2022-05-30,P1,320
2022-05-30,P2,170
2022-05-30,P3,100
2022-05-30,P4,520
2022-06-06,P1,340
2022-06-06,P2,190
2022-06-06,P3,120
2022-06-06,P4,540
2022-06-13,P1,360
2022-06-13,P2,210
2022-06-13,P3,140
2022-06-13,P4,560
2022-06-20,P1,300
2022-06-20,P2,150
2022-06-20,P3,80
2022-06-20,P4,500
2022-06-27,P1,320
2022-06-27,P2,170
2022-06-27,P3,100
2022-06-27,P4,520
2022-07-04,P1,340
2022-07-04,P2,190
2022-07-04,P3,120
2022-07-04,P4,540
2022-07-11,P1,360
2022-07-11,P2,210
2022-07-11,P3,140
2022-07-11,P4,560
2022-07-18,P1,300
2022-07-18,P2,150
2022-07-18,P3,80
2022-07-18,P4,500
2022-07-25,P1,320
2022-07-25,P2,170
2022-07-25,P3,100
2022-07-25,P4,520
2022-08-01,P1,340
2022-08-01,P2,190
2022-08-01,P3,120
2022-08-01,P4,540
2022-08-08,P1,360
2022-08-08,P2,210
2022-08-08,P3,140
2022-08-08,P4,560
2022-08-15,P1,300
2022-08-15,P2,150
2022-08-15,P3,80
2022-08-15,P4,500
2022-08-22,P1,320
2022-08-22,P2,170
2022-08-22,P3,100
2022-08-22,P4,520
2022-08-29,P1,340
2022-08-29,P2,190
2022-08-29,P3,120
2022-08-29,P4,540
2022-09-05,P1,360
2022-09-05,P2,210
2022-09-05,P3,140
2022-09-05,P4,560
2022-09-12,P1,300
2022-09-12,P2,150
2022-09-12,P3,80
2022-09-12,P4,500
2022-09-19,P1,320
2022-09-19,P2,170
2022-09-19,P3,100
2022-09-19,P4,520
2022-09-26,P1,340
2022-09-26,P2,190
2022-09-26,P3,120
2022-09-26,P4,540
2022-10-03,P1,360
2022-10-03,P2,210
2022-10-03,P3,140
2022-10-03,P4,560
2022-10-10,P1,300
2022-10-10,P2,150
2022-10-10,P3,80
2022-10-10,P4,500
2022-10-17,P1,320
2022-10-17,P2,170
2022-10-17,P3,100
2022-10-17,P4,520
2022-10-24,P1,340
2022-10-24,P2,190
2022-10-24,P3,120
2022-10-24,P4,540
2022-10-31,P1,360
2022-10-31,P2,210
2022-10-31,P3,140
2022-10-31,P4,560
2022-11-07,P1,300
2022-11-07,P2,150
2022-11-07,P3,80
2022-11-07,P4,500
2022-11-14,P1,320
2022-11-14,P2,170
2022-11-14,P3,100
2022-11-14,P4,520
2022-11-21,P1,340
2022-11-21,P2,190
2022-11-21,P3,120
2022-11-21,P4,540
2022-11-28,P1,360
2022-11-28,P2,210
2022-11-28,P3,140
2022-11-28,P4,560
2022-12-05,P1,300
2022-12-05,P2,150
2022-12-05,P3,80
2022-12-05,P4,500
2022-12-12,P1,320
2022-12-12,P2,170
2022-12-12,P3,100
2022-12-12,P4,520
2022-12-19,P1,340
2022-12-19,P2,190
2022-12-19,P3,120
2022-12-19,P4,540
2022-12-26,P1,360
2022-12-26,P2,210
2022-12-26,P3,140
2022-12-26,P4,560
