date,sku,sales
2023-01-01,A,50
2023-01-02,A,51
2023-01-03,A,52
2023-01-04,A,53
2023-01-05,A,54
2023-01-06,A,55
2023-01-07,A,56
2023-01-08,A,57
2023-01-09,A,58
2023-01-10,A,59
2023-01-11,A,60
2023-01-12,A,61
2023-01-13,A,62
2023-01-14,A,63
2023-01-15,A,64
2023-01-16,A,65
2023-01-17,A,66
2023-01-18,A,67
2023-01-19,A,68
2023-01-20,A,69
2023-01-21,A,70
2023-01-22,A,71
2023-01-23,A,72
2023-01-24,A,73
2023-01-25,A,74
2023-01-26,A,75
2023-01-27,A,76
2023-01-28,A,77
2023-01-29,A,78
2023-01-30,A,79
2023-01-31,A,80
2023-01-32,A,81
2023-01-33,A,82
2023-01-34,A,83
2023-01-35,A,84
