fecha,sku,ventas
2021-01-01,OLD,100
2021-01-02,OLD,100
2021-01-03,OLD,100
2021-01-04,OLD,100
2021-01-05,OLD,100
2021-01-06,OLD,100
2021-01-07,OLD,100
2021-01-08,OLD,100
2021-01-09,OLD,100
2021-01-10,OLD,100
2021-01-11,OLD,100
2021-01-12,OLD,100
2021-01-13,OLD,100
2021-01-14,OLD,100
2021-01-15,OLD,100
2021-01-16,OLD,100
2021-01-17,OLD,100
2021-01-18,OLD,100
2021-01-19,OLD,100
2021-01-20,OLD,100
2021-01-21,OLD,100
2021-01-22,OLD,100
2021-01-23,OLD,100
2021-01-24,OLD,100
2021-01-25,OLD,100
2021-01-26,OLD,100
2021-01-27,OLD,100
2021-01-28,OLD,100
2024-06-01,NEW,50
2024-06-02,NEW,60
