date,sku,sales
2022-01-01,A,100
2022-01-02,A,101
2022-01-03,A,102
2022-01-05,A,104
2022-01-06,A,105
2022-01-08,A,107
2022-01-10,A,109
2022-01-13,A,102
2022-01-14,A,103
2022-01-16,A,105
2022-01-17,A,106
2022-01-18,A,107
2022-01-19,A,108
2022-01-20,A,109
2022-01-21,A,100
2022-01-23,A,102
2022-01-24,A,103
2022-01-27,A,106
2022-01-28,A,107
2022-01-29,A,108
2022-01-30,A,109
2022-01-31,A,100
2022-02-01,A,101
2022-02-02,A,102
2022-02-05,A,105
2022-02-06,A,106
2022-02-07,A,107
2022-02-08,A,108
2022-02-09,A,109
2022-02-10,A,100
2022-02-11,A,101
2022-02-12,A,102
2022-02-13,A,103
2022-02-14,A,104
2022-02-15,A,105
2022-02-16,A,106
2022-02-17,A,107
2022-02-18,A,108
2022-02-19,A,109
2022-02-20,A,100
2022-02-22,A,102
2022-02-23,A,103
2022-02-24,A,104
2022-02-25,A,105
2022-02-27,A,107
2022-02-28,A,108
2022-03-01,A,109
2022-03-02,A,100
2022-03-03,A,101
2022-03-04,A,102
2022-03-05,A,103
2022-03-06,A,104
2022-03-07,A,105
2022-03-08,A,106
2022-03-09,A,107
2022-03-10,A,108
2022-03-11,A,109
2022-03-13,A,101
2022-03-14,A,102
2022-03-15,A,103
2022-03-16,A,104
2022-03-17,A,105
2022-03-18,A,106
2022-03-19,A,107
2022-03-21,A,109
2022-03-22,A,100
2022-03-25,A,103
2022-03-27,A,105
2022-03-28,A,106
2022-03-29,A,107
2022-03-31,A,109
