fecha,sku,ventas,precio,promo
2022-01-01,A,70,9.99,1
2022-01-02,A,105,9.99,0
2022-01-03,A,110,9.99,0
2022-01-04,A,115,9.99,0
2022-01-05,A,120,9.99,0
2022-01-06,A,125,9.99,0
2022-01-07,A,130,9.99,0
2022-01-08,A,100,9.99,0
2022-01-09,A,105,9.99,0
2022-01-10,A,110,9.99,0
2022-01-11,A,115,9.99,0
2022-01-12,A,120,9.99,0
2022-01-13,A,125,9.99,0
2022-01-14,A,130,9.99,0
2022-01-15,A,100,9.99,0
2022-01-16,A,105,12.99,0
2022-01-17,A,110,12.99,0
2022-01-18,A,115,12.99,0
2022-01-19,A,120,12.99,0
2022-01-20,A,125,12.99,0
2022-01-21,A,100,12.99,1
2022-01-22,A,100,12.99,0
2022-01-23,A,105,12.99,0
2022-01-24,A,110,12.99,0
2022-01-25,A,115,12.99,0
2022-01-26,A,120,12.99,0
2022-01-27,A,125,12.99,0
2022-01-28,A,130,12.99,0
2022-01-29,A,100,12.99,0
2022-01-30,A,105,12.99,0
2022-01-31,A,110,9.99,0
2022-02-01,A,115,9.99,0
2022-02-02,A,120,9.99,0
2022-02-03,A,125,9.99,0
2022-02-04,A,130,9.99,0
2022-02-05,A,100,9.99,0
2022-02-06,A,105,9.99,0
2022-02-07,A,110,9.99,0
2022-02-08,A,115,9.99,0
2022-02-09,A,120,9.99,0
2022-02-10,A,95,9.99,1
2022-02-11,A,130,9.99,0
2022-02-12,A,100,9.99,0
2022-02-13,A,105,9.99,0
2022-02-14,A,110,9.99,0
2022-02-15,A,115,12.99,0
2022-02-16,A,120,12.99,0
2022-02-17,A,125,12.99,0
2022-02-18,A,130,12.99,0
2022-02-19,A,100,12.99,0
2022-02-20,A,105,12.99,0
2022-02-21,A,110,12.99,0
2022-02-22,A,115,12.99,0
2022-02-23,A,120,12.99,0
2022-02-24,A,125,12.99,0
2022-02-25,A,130,12.99,0
2022-02-26,A,100,12.99,0
2022-02-27,A,105,12.99,0
2022-02-28,A,110,12.99,0
2022-03-01,A,115,12.99,0
2022-03-02,A,90,9.99,1
2022-03-03,A,125,9.99,0
2022-03-04,A,130,9.99,0
2022-03-05,A,100,9.99,0
2022-03-06,A,105,9.99,0
2022-03-07,A,110,9.99,0
2022-03-08,A,115,9.99,0
2022-03-09,A,120,9.99,0
2022-03-10,A,125,9.99,0
2022-03-11,A,130,9.99,0
2022-03-12,A,100,9.99,0
2022-03-13,A,105,9.99,0
2022-03-14,A,110,9.99,0
2022-03-15,A,115,9.99,0
2022-03-16,A,120,9.99,0
2022-03-17,A,125,12.99,0
2022-03-18,A,130,12.99,0
2022-03-19,A,100,12.99,0
2022-03-20,A,105,12.99,0
2022-03-21,A,110,12.99,0
2022-03-22,A,85,12.99,1
2022-03-23,A,120,12.99,0
2022-03-24,A,125,12.99,0
2022-03-25,A,130,12.99,0
2022-03-26,A,100,12.99,0
2022-03-27,A,105,12.99,0
2022-03-28,A,110,12.99,0
2022-03-29,A,115,12.99,0
2022-03-30,A,120,12.99,0
2022-03-31,A,125,12.99,0
