date,sku,sales
2022-01-01,X,100
2022-01-02,X,110
2022-01-03,X,120
2022-01-04,X,130
2022-01-05,X,140
2022-01-06,X,150
2022-01-07,X,160
2022-01-08,X,100
2022-01-09,X,110
2022-01-10,X,120
2022-01-11,X,130
2022-01-12,X,140
2022-01-13,X,150
2022-01-14,X,160
2022-01-15,X,100
2022-01-16,X,2000
2022-01-17,X,120
2022-01-18,X,130
2022-01-19,X,140
2022-01-20,X,150
2022-01-21,X,160
2022-01-22,X,100
2022-01-23,X,110
2022-01-24,X,120
2022-01-25,X,130
2022-01-26,X,140
2022-01-27,X,150
2022-01-28,X,160
2022-01-29,X,100
2022-01-30,X,110
2022-01-31,X,120
2022-02-01,X,130
2022-02-02,X,140
2022-02-03,X,150
2022-02-04,X,160
2022-02-05,X,100
2022-02-06,X,110
2022-02-07,X,120
2022-02-08,X,130
2022-02-09,X,140
2022-02-10,X,150
2022-02-11,X,160
2022-02-12,X,100
2022-02-13,X,110
2022-02-14,X,120
2022-02-15,X,130
2022-02-16,X,140
2022-02-17,X,150
2022-02-18,X,160
2022-02-19,X,100
2022-02-20,X,110
2022-02-21,X,120
2022-02-22,X,130
2022-02-23,X,140
2022-02-24,X,150
2022-02-25,X,160
2022-02-26,X,100
2022-02-27,X,110
2022-02-28,X,120
2022-03-01,X,130
2022-03-02,X,2000
2022-03-03,X,150
2022-03-04,X,160
2022-03-05,X,100
2022-03-06,X,110
2022-03-07,X,120
2022-03-08,X,130
2022-03-09,X,140
2022-03-10,X,150
2022-03-11,X,160
2022-03-12,X,100
2022-03-13,X,110
2022-03-14,X,120
2022-03-15,X,130
2022-03-16,X,140
2022-03-17,X,150
2022-03-18,X,160
2022-03-19,X,100
2022-03-20,X,110
2022-03-21,X,120
2022-03-22,X,130
2022-03-23,X,140
2022-03-24,X,150
2022-03-25,X,160
2022-03-26,X,100
2022-03-27,X,110
2022-03-28,X,120
2022-03-29,X,130
2022-03-30,X,140
2022-03-31,X,150
2022-01-01,Y,250
2022-01-02,Y,275
2022-01-03,Y,300
2022-01-04,Y,325
2022-01-05,Y,350
2022-01-06,Y,375
2022-01-07,Y,400
2022-01-08,Y,250
2022-01-09,Y,275
2022-01-10,Y,300
2022-01-11,Y,325
2022-01-12,Y,350
2022-01-13,Y,375
2022-01-14,Y,400
2022-01-15,Y,250
2022-01-16,Y,5000
2022-01-17,Y,300
2022-01-18,Y,325
2022-01-19,Y,350
2022-01-20,Y,375
2022-01-21,Y,400
2022-01-22,Y,250
2022-01-23,Y,275
2022-01-24,Y,300
2022-01-25,Y,325
2022-01-26,Y,350
2022-01-27,Y,375
2022-01-28,Y,400
2022-01-29,Y,250
2022-01-30,Y,275
2022-01-31,Y,300
2022-02-01,Y,325
2022-02-02,Y,350
2022-02-03,Y,375
2022-02-04,Y,400
2022-02-05,Y,250
2022-02-06,Y,275
2022-02-07,Y,300
2022-02-08,Y,325
2022-02-09,Y,350
2022-02-10,Y,375
2022-02-11,Y,400
2022-02-12,Y,250
2022-02-13,Y,275
2022-02-14,Y,300
2022-02-15,Y,325
2022-02-16,Y,350
2022-02-17,Y,375
2022-02-18,Y,400
2022-02-19,Y,250
2022-02-20,Y,275
2022-02-21,Y,300
2022-02-22,Y,325
2022-02-23,Y,350
2022-02-24,Y,375
2022-02-25,Y,400
2022-02-26,Y,250
2022-02-27,Y,275
2022-02-28,Y,300
2022-03-01,Y,325
2022-03-02,Y,5000
2022-03-03,Y,375
2022-03-04,Y,400
2022-03-05,Y,250
2022-03-06,Y,275
2022-03-07,Y,300
2022-03-08,Y,325
2022-03-09,Y,350
2022-03-10,Y,375
2022-03-11,Y,400
2022-03-12,Y,250
2022-03-13,Y,275
2022-03-14,Y,300
2022-03-15,Y,325
2022-03-16,Y,350
2022-03-17,Y,375
2022-03-18,Y,400
2022-03-19,Y,250
2022-03-20,Y,275
2022-03-21,Y,300
2022-03-22,Y,325
2022-03-23,Y,350
2022-03-24,Y,375
2022-03-25,Y,400
2022-03-26,Y,250
2022-03-27,Y,275
2022-03-28,Y,300
2022-03-29,Y,325
2022-03-30,Y,350
2022-03-31,Y,375
2022-01-01,Z,50
2022-01-02,Z,55
2022-01-03,Z,60
2022-01-04,Z,65
2022-01-05,Z,70
2022-01-06,Z,75
2022-01-07,Z,80
2022-01-08,Z,50
2022-01-09,Z,55
2022-01-10,Z,60
2022-01-11,Z,65
2022-01-12,Z,70
2022-01-13,Z,75
2022-01-14,Z,80
2022-01-15,Z,50
2022-01-16,Z,1000
2022-01-17,Z,60
2022-01-18,Z,65
2022-01-19,Z,70
2022-01-20,Z,75
2022-01-21,Z,80
2022-01-22,Z,50
2022-01-23,Z,55
2022-01-24,Z,60
2022-01-25,Z,65
2022-01-26,Z,70
2022-01-27,Z,75
2022-01-28,Z,80
2022-01-29,Z,50
2022-01-30,Z,55
2022-01-31,Z,60
2022-02-01,Z,65
2022-02-02,Z,70
2022-02-03,Z,75
2022-02-04,Z,80
2022-02-05,Z,50
2022-02-06,Z,55
2022-02-07,Z,60
2022-02-08,Z,65
2022-02-09,Z,70
2022-02-10,Z,75
2022-02-11,Z,80
2022-02-12,Z,50
2022-02-13,Z,55
2022-02-14,Z,60
2022-02-15,Z,65
2022-02-16,Z,70
2022-02-17,Z,75
2022-02-18,Z,80
2022-02-19,Z,50
2022-02-20,Z,55
2022-02-21,Z,60
2022-02-22,Z,65
2022-02-23,Z,70
2022-02-24,Z,75
2022-02-25,Z,80
2022-02-26,Z,50
2022-02-27,Z,55
2022-02-28,Z,60
2022-03-01,Z,65
2022-03-02,Z,1000
2022-03-03,Z,75
2022-03-04,Z,80
2022-03-05,Z,50
2022-03-06,Z,55
2022-03-07,Z,60
2022-03-08,Z,65
2022-03-09,Z,70
2022-03-10,Z,75
2022-03-11,Z,80
2022-03-12,Z,50
2022-03-13,Z,55
2022-03-14,Z,60
2022-03-15,Z,65
2022-03-16,Z,70
2022-03-17,Z,75
2022-03-18,Z,80
2022-03-19,Z,50
2022-03-20,Z,55
2022-03-21,Z,60
2022-03-22,Z,65
2022-03-23,Z,70
2022-03-24,Z,75
2022-03-25,Z,80
2022-03-26,Z,50
2022-03-27,Z,55
2022-03-28,Z,60
2022-03-29,Z,65
2022-03-30,Z,70
2022-03-31,Z,75
