sku,date,target,categoria,inventario_disponible,precio_unitario,promocion_activa,costo_envio,unidades_vendidas,puntuacion_producto,clicks_anuncio
SKU-214,2026-01-01,216.72,Hogar,605,36.25,0,15.5,33,2.3,122
SKU-242,2026-01-01,38.73,Electrónica,430,93.04,0,5.25,14,3.1,340
SKU-381,2026-01-01,114.45,Deportes,218,22.52,0,14.66,22,4.4,213
SKU-792,2026-01-02,221.22,Hogar,1276,68.01,0,24.26,43,4.4,320
SKU-195,2026-01-03,378.41,Moda,818,94.84,1,3.95,48,2.2,396
SKU-704,2026-01-03,394.19,Electrónica,1340,91.65,0,12.28,19,3.0,235
SKU-214,2026-01-08,440.84,Moda,1425,30.07,1,12.87,19,2.2,197
SKU-328,2026-01-08,282.33,Hogar,1383,67.81,0,9.58,2,2.1,77
SKU-130,2026-01-09,157.0,Moda,786,45.25,1,22.0,39,4.8,48
SKU-189,2026-01-09,74.83,Electrónica,1473,118.61,1,23.8,43,2.3,14
SKU-242,2026-01-09,275.68,Deportes,173,43.65,1,16.18,20,1.4,222
SKU-132,2026-01-10,139.95,Electrónica,870,19.52,1,13.01,33,1.4,443
SKU-323,2026-01-11,155.39,Electrónica,969,30.23,0,8.52,16,4.9,161
SKU-350,2026-01-11,484.67,Hogar,347,55.12,1,9.19,46,4.0,177
SKU-125,2026-01-14,432.06,Electrónica,1361,84.8,0,11.68,27,1.1,357
SKU-242,2026-01-15,122.18,Moda,90,64.57,0,11.26,32,3.9,368
SKU-381,2026-01-15,238.84,Hogar,1358,90.52,1,22.03,49,2.3,264
SKU-858,2026-01-15,232.95,Moda,659,103.15,1,18.32,29,3.2,27
SKU-859,2026-01-15,176.26,Deportes,1365,64.95,1,6.76,17,3.6,419
SKU-381,2026-01-16,126.96,Moda,398,7.23,0,4.06,10,2.2,421
SKU-658,2026-01-17,296.25,Hogar,1359,23.98,0,5.97,36,1.1,77
SKU-704,2026-01-17,38.01,Moda,1055,51.5,0,7.75,1,2.2,112
SKU-125,2026-01-20,425.86,Deportes,831,53.32,1,24.14,32,3.5,80
SKU-132,2026-01-20,453.66,Moda,1451,10.78,0,10.0,6,4.3,161
SKU-242,2026-01-21,247.96,Electrónica,0,72.17,0,19.9,29,1.3,59
SKU-323,2026-01-21,103.2,Electrónica,824,13.91,1,5.33,50,1.5,420
SKU-754,2026-01-21,44.72,Deportes,3,102.56,1,6.22,23,3.6,434
SKU-792,2026-01-22,480.78,Deportes,191,8.1,0,6.56,8,2.7,197
SKU-859,2026-01-23,462.4,Deportes,392,20.91,0,16.8,35,1.4,327
SKU-328,2026-01-26,463.92,Hogar,616,28.79,1,4.79,49,2.1,439
SKU-328,2026-01-26,130.65,Electrónica,94,48.6,0,10.04,33,3.7,477
SKU-658,2026-01-28,125.25,Moda,407,20.61,0,23.31,32,1.7,435
SKU-130,2026-01-29,339.13,Electrónica,1426,119.99,1,18.0,13,1.3,249
SKU-242,2026-01-29,45.9,Moda,11,7.34,0,7.27,27,5.0,355
SKU-658,2026-01-30,499.24,Deportes,1343,114.21,1,15.89,18,2.8,356
SKU-854,2026-01-31,362.02,Hogar,437,74.37,0,21.98,41,1.9,56
