date,sales
2022-01-01,010
2022-01-02,005
2022-01-03,010
2022-01-04,015
2022-01-05,020
2022-01-06,025
2022-01-07,030
2022-01-08,0
2022-01-09,005
2022-01-10,010
2022-01-11,015
2022-01-12,020
2022-01-13,025
2022-01-14,040
2022-01-15,0
2022-01-16,005
2022-01-17,010
2022-01-18,015
2022-01-19,020
2022-01-20,025
2022-01-21,030
2022-01-22,0
2022-01-23,005
2022-01-24,010
2022-01-25,015
2022-01-26,020
2022-01-27,035
2022-01-28,030
2022-01-29,0
2022-01-30,005
2022-01-31,010
2022-02-01,015
2022-02-02,020
2022-02-03,025
2022-02-04,030
2022-02-05,0
2022-02-06,005
2022-02-07,010
2022-02-08,015
2022-02-09,030
2022-02-10,025
2022-02-11,030
2022-02-12,0
2022-02-13,005
2022-02-14,010
2022-02-15,015
2022-02-16,020
2022-02-17,025
2022-02-18,030
2022-02-19,0
2022-02-20,005
2022-02-21,010
2022-02-22,025
2022-02-23,020
2022-02-24,025
2022-02-25,030
2022-02-26,0
2022-02-27,005
2022-02-28,010
2022-03-01,015
