date,sales
2022-01-01,110
2022-01-02,105
2022-01-03,110
2022-01-04,115
2022-01-05,120
2022-01-06,125
2022-01-07,130
2022-01-08,100
2022-01-09,105
2022-01-10,110
2022-01-11,115
2022-01-12,120
2022-01-13,125
2022-01-14,140
2022-01-15,100
2022-01-16,105
2022-01-17,110
2022-01-18,115
2022-01-19,120
2022-01-20,125
2022-01-21,130
2022-01-22,100
2022-01-23,105
2022-01-24,110
2022-01-25,115
2022-01-26,120
2022-01-27,135
2022-01-28,130
2022-01-29,100
2022-01-30,105
2022-01-31,110
2022-02-01,115
2022-02-02,120
2022-02-03,125
2022-02-04,130
2022-02-05,100
2022-02-06,105
2022-02-07,110
2022-02-08,115
2022-02-09,130
2022-02-10,125
2022-02-11,130
2022-02-12,100
2022-02-13,105
2022-02-14,110
2022-02-15,115
2022-02-16,120
2022-02-17,125
2022-02-18,130
2022-02-19,100
2022-02-20,105
2022-02-21,110
2022-02-22,125
2022-02-23,120
2022-02-24,125
2022-02-25,130
2022-02-26,100
2022-02-27,105
2022-02-28,110
2022-03-01,115
2022-03-02,120
2022-03-03,125
2022-03-04,130
2022-03-05,100
2022-03-06,105
2022-03-07,120
2022-03-08,115
2022-03-09,120
2022-03-10,125
2022-03-11,130
2022-03-12,100
2022-03-13,105
2022-03-14,110
2022-03-15,115
2022-03-16,120
2022-03-17,125
2022-03-18,130
2022-03-19,100
2022-03-20,115
2022-03-21,110
2022-03-22,115
2022-03-23,120
2022-03-24,125
2022-03-25,130
2022-03-26,100
2022-03-27,105
2022-03-28,110
2022-03-29,115
2022-03-30,120
2022-03-31,125
2022-04-01,130
2022-04-02,110
2022-04-03,105
2022-04-04,110
2022-04-05,115
2022-04-06,120
2022-04-07,125
2022-04-08,130
2022-04-09,100
2022-04-10,105
2022-04-11,110
2022-04-12,115
2022-04-13,120
2022-04-14,125
2022-04-15,140
2022-04-16,100
2022-04-17,105
2022-04-18,110
2022-04-19,115
2022-04-20,120
2022-04-21,125
2022-04-22,130
2022-04-23,100
2022-04-24,105
2022-04-25,110
2022-04-26,115
2022-04-27,120
2022-04-28,135
2022-04-29,130
2022-04-30,100
