date,sku,sales
2022-01-01,SKU_001,50
2022-01-02,SKU_001,52
2022-01-03,SKU_001,54
2022-01-04,SKU_001,56
2022-01-05,SKU_001,58
2022-01-06,SKU_001,60
2022-01-07,SKU_001,62
2022-01-08,SKU_001,50
2022-01-09,SKU_001,52
2022-01-10,SKU_001,54
2022-01-11,SKU_001,56
2022-01-12,SKU_001,58
2022-01-13,SKU_001,60
2022-01-14,SKU_001,62
2022-01-15,SKU_001,50
2022-01-16,SKU_001,52
2022-01-17,SKU_001,54
2022-01-18,SKU_001,56
2022-01-19,SKU_001,58
2022-01-20,SKU_001,60
2022-01-21,SKU_001,62
2022-01-22,SKU_001,50
2022-01-23,SKU_001,52
2022-01-24,SKU_001,54
2022-01-25,SKU_001,56
2022-01-26,SKU_001,58
2022-01-27,SKU_001,60
2022-01-28,SKU_001,62
2022-01-29,SKU_001,50
2022-01-30,SKU_001,52
2022-01-31,SKU_001,54
2022-02-01,SKU_001,56
2022-02-02,SKU_001,58
2022-02-03,SKU_001,60
2022-02-04,SKU_001,62
2022-02-05,SKU_001,50
2022-02-06,SKU_001,52
2022-02-07,SKU_001,54
2022-02-08,SKU_001,56
2022-02-09,SKU_001,58
2022-02-10,SKU_001,60
2022-02-11,SKU_001,62
2022-02-12,SKU_001,50
2022-02-13,SKU_001,52
2022-02-14,SKU_001,54
2022-02-15,SKU_001,56
2022-02-16,SKU_001,58
2022-02-17,SKU_001,60
2022-02-18,SKU_001,62
2022-02-19,SKU_001,50
2022-02-20,SKU_001,52
2022-02-21,SKU_001,54
2022-02-22,SKU_001,56
2022-02-23,SKU_001,58
2022-02-24,SKU_001,60
2022-02-25,SKU_001,62
2022-02-26,SKU_001,50
2022-02-27,SKU_001,52
2022-02-28,SKU_001,54
2022-03-01,SKU_001,56
2022-01-01,SKU_002,60
2022-01-02,SKU_002,62
2022-01-03,SKU_002,64
2022-01-04,SKU_002,66
2022-01-05,SKU_002,68
2022-01-06,SKU_002,70
2022-01-07,SKU_002,72
2022-01-08,SKU_002,60
2022-01-09,SKU_002,62
2022-01-10,SKU_002,64
2022-01-11,SKU_002,66
2022-01-12,SKU_002,68
2022-01-13,SKU_002,70
2022-01-14,SKU_002,72
