sku,date,target,categoria,inventario_disponible,precio_unitario,promocion_activa
SKU-214,2026-01-01,216.72,Hogar,605,36.25,False
SKU-242,2026-01-01,38.73,Electrónica,430,93.04,False
SKU-381,2026-01-01,114.45,Deportes,218,22.52,False
SKU-792,2026-01-02,221.22,Hogar,1276,68.01,False
SKU-195,2026-01-03,378.41,Moda,818,94.84,True
SKU-704,2026-01-03,394.19,Electrónica,1340,91.65,False
SKU-214,2026-01-08,440.84,Moda,1425,30.07,True
SKU-328,2026-01-08,282.33,Hogar,1383,67.81,False
SKU-130,2026-01-09,157.0,Moda,786,45.25,True
SKU-189,2026-01-09,74.83,Electrónica,1473,118.61,True
SKU-242,2026-01-09,275.68,Deportes,173,43.65,True
SKU-132,2026-01-10,139.95,Electrónica,870,19.52,True
SKU-323,2026-01-11,155.39,Electrónica,969,30.23,False
SKU-350,2026-01-11,484.67,Hogar,347,55.12,True
SKU-125,2026-01-14,432.06,Electrónica,1361,84.8,False
SKU-242,2026-01-15,122.18,Moda,90,64.57,False
SKU-381,2026-01-15,238.84,Hogar,1358,90.52,True
SKU-858,2026-01-15,232.95,Moda,659,103.15,True
SKU-859,2026-01-15,176.26,Deportes,1365,64.95,True
SKU-381,2026-01-16,126.96,Moda,398,7.23,False
SKU-658,2026-01-17,296.25,Hogar,1359,23.98,False
SKU-704,2026-01-17,38.01,Moda,1055,51.5,False
SKU-125,2026-01-20,425.86,Deportes,831,53.32,True
SKU-132,2026-01-20,453.66,Moda,1451,10.78,False
SKU-242,2026-01-21,247.96,Electrónica,0,72.17,False
SKU-323,2026-01-21,103.2,Electrónica,824,13.91,True
SKU-754,2026-01-21,44.72,Deportes,3,102.56,True
SKU-792,2026-01-22,480.78,Deportes,191,8.1,False
SKU-859,2026-01-23,462.4,Deportes,392,20.91,False
SKU-328,2026-01-26,463.92,Hogar,616,28.79,True
SKU-328,2026-01-26,130.65,Electrónica,94,48.6,False
SKU-658,2026-01-28,125.25,Moda,407,20.61,False
SKU-130,2026-01-29,339.13,Electrónica,1426,119.99,True
SKU-242,2026-01-29,45.9,Moda,11,7.34,False
