date,sku,units
2022-01-01,A,50
2022-01-01,B,200
2022-01-01,C,15
2022-01-02,A,53
2022-01-02,B,203
2022-01-02,C,18
2022-01-03,A,56
2022-01-03,B,206
2022-01-03,C,21
2022-01-04,A,59
2022-01-04,B,209
2022-01-04,C,24
2022-01-05,A,62
2022-01-05,B,212
2022-01-05,C,27
2022-01-06,A,65
2022-01-06,B,215
2022-01-06,C,30
2022-01-07,A,68
2022-01-07,B,218
2022-01-07,C,33
2022-01-08,A,50
2022-01-08,B,200
2022-01-08,C,15
2022-01-09,A,53
2022-01-09,B,203
2022-01-09,C,18
2022-01-10,A,56
2022-01-10,B,206
2022-01-10,C,21
2022-01-11,A,59
2022-01-11,B,209
2022-01-11,C,24
2022-01-12,A,62
2022-01-12,B,212
2022-01-12,C,27
2022-01-13,A,65
2022-01-13,B,215
2022-01-13,C,30
2022-01-14,A,68
2022-01-14,B,218
2022-01-14,C,33
2022-01-15,A,50
2022-01-15,B,200
2022-01-15,C,15
2022-01-16,A,53
2022-01-16,B,203
2022-01-16,C,18
2022-01-17,A,56
2022-01-17,B,206
2022-01-17,C,21
2022-01-18,A,59
2022-01-18,B,209
2022-01-18,C,24
2022-01-19,A,62
2022-01-19,B,212
2022-01-19,C,27
2022-01-20,A,65
2022-01-20,B,215
2022-01-20,C,30
2022-01-21,A,68
2022-01-21,B,218
2022-01-21,C,33
2022-01-22,A,50
2022-01-22,B,200
2022-01-22,C,15
2022-01-23,A,53
2022-01-23,B,203
2022-01-23,C,18
2022-01-24,A,56
2022-01-24,B,206
2022-01-24,C,21
2022-01-25,A,59
2022-01-25,B,209
2022-01-25,C,24
2022-01-26,A,62
2022-01-26,B,212
2022-01-26,C,27
2022-01-27,A,65
2022-01-27,B,215
2022-01-27,C,30
2022-01-28,A,68
2022-01-28,B,218
2022-01-28,C,33
2022-01-29,A,50
2022-01-29,B,200
2022-01-29,C,15
2022-01-30,A,53
2022-01-30,B,203
2022-01-30,C,18
2022-01-31,A,56
2022-01-31,B,206
2022-01-31,C,21
2022-02-01,A,59
2022-02-01,B,209
2022-02-01,C,24
2022-02-02,A,62
2022-02-02,B,212
2022-02-02,C,27
2022-02-03,A,65
2022-02-03,B,215
2022-02-03,C,30
2022-02-04,A,68
2022-02-04,B,218
2022-02-04,C,33
2022-02-05,A,50
2022-02-05,B,200
2022-02-05,C,15
2022-02-06,A,53
2022-02-06,B,203
2022-02-06,C,18
2022-02-07,A,56
2022-02-07,B,206
2022-02-07,C,21
2022-02-08,A,59
2022-02-08,B,209
2022-02-08,C,24
2022-02-09,A,62
2022-02-09,B,212
2022-02-09,C,27
2022-02-10,A,65
2022-02-10,B,215
2022-02-10,C,30
2022-02-11,A,68
2022-02-11,B,218
2022-02-11,C,33
2022-02-12,A,50
2022-02-12,B,200
2022-02-12,C,15
2022-02-13,A,53
2022-02-13,B,203
2022-02-13,C,18
2022-02-14,A,56
2022-02-14,B,206
2022-02-14,C,21
2022-02-15,A,59
2022-02-15,B,209
2022-02-15,C,24
2022-02-16,A,62
2022-02-16,B,212
2022-02-16,C,27
2022-02-17,A,65
2022-02-17,B,215
2022-02-17,C,30
2022-02-18,A,68
2022-02-18,B,218
2022-02-18,C,33
2022-02-19,A,50
2022-02-19,B,200
2022-02-19,C,15
2022-02-20,A,53
2022-02-20,B,203
2022-02-20,C,18
2022-02-21,A,56
2022-02-21,B,206
2022-02-21,C,21
2022-02-22,A,59
2022-02-22,B,209
2022-02-22,C,24
2022-02-23,A,62
2022-02-23,B,212
2022-02-23,C,27
2022-02-24,A,65
2022-02-24,B,215
2022-02-24,C,30
2022-02-25,A,68
2022-02-25,B,218
2022-02-25,C,33
2022-02-26,A,50
2022-02-26,B,200
2022-02-26,C,15
2022-02-27,A,53
2022-02-27,B,203
2022-02-27,C,18
2022-02-28,A,56
2022-02-28,B,206
2022-02-28,C,21
2022-03-01,A,59
2022-03-01,B,209
2022-03-01,C,24
2022-03-02,A,62
2022-03-02,B,212
2022-03-02,C,27
2022-03-03,A,65
2022-03-03,B,215
2022-03-03,C,30
2022-03-04,A,68
2022-03-04,B,218
2022-03-04,C,33
2022-03-05,A,50
2022-03-05,B,200
2022-03-05,C,15
2022-03-06,A,53
2022-03-06,B,203
2022-03-06,C,18
2022-03-07,A,56
2022-03-07,B,206
2022-03-07,C,21
2022-03-08,A,59
2022-03-08,B,209
2022-03-08,C,24
2022-03-09,A,62
2022-03-09,B,212
2022-03-09,C,27
2022-03-10,A,65
2022-03-10,B,215
2022-03-10,C,30
2022-03-11,A,68
2022-03-11,B,218
2022-03-11,C,33
2022-03-12,A,50
2022-03-12,B,200
2022-03-12,C,15
2022-03-13,A,53
2022-03-13,B,203
2022-03-13,C,18
2022-03-14,A,56
2022-03-14,B,206
2022-03-14,C,21
2022-03-15,A,59
2022-03-15,B,209
2022-03-15,C,24
2022-03-16,A,62
2022-03-16,B,212
2022-03-16,C,27
2022-03-17,A,65
2022-03-17,B,215
2022-03-17,C,30
2022-03-18,A,68
2022-03-18,B,218
2022-03-18,C,33
2022-03-19,A,50
2022-03-19,B,200
2022-03-19,C,15
2022-03-20,A,53
2022-03-20,B,203
2022-03-20,C,18
2022-03-21,A,56
2022-03-21,B,206
2022-03-21,C,21
2022-03-22,A,59
2022-03-22,B,209
2022-03-22,C,24
2022-03-23,A,62
2022-03-23,B,212
2022-03-23,C,27
2022-03-24,A,65
2022-03-24,B,215
2022-03-24,C,30
2022-03-25,A,68
2022-03-25,B,218
2022-03-25,C,33
2022-03-26,A,50
2022-03-26,B,200
2022-03-26,C,15
2022-03-27,A,53
2022-03-27,B,203
2022-03-27,C,18
2022-03-28,A,56
2022-03-28,B,206
2022-03-28,C,21
2022-03-29,A,59
2022-03-29,B,209
2022-03-29,C,24
2022-03-30,A,62
2022-03-30,B,212
2022-03-30,C,27
2022-03-31,A,65
2022-03-31,B,215
2022-03-31,C,30
