month,category,revenue
2021-01-01,Electronics,10000
2021-01-01,Clothing,5000
2021-01-01,Food,8000
2021-02-01,Electronics,10250
2021-02-01,Clothing,5250
2021-02-01,Food,8250
2021-03-01,Electronics,10500
2021-03-01,Clothing,5500
2021-03-01,Food,8500
2021-04-01,Electronics,10750
2021-04-01,Clothing,5750
2021-04-01,Food,8750
2021-05-01,Electronics,11000
2021-05-01,Clothing,6000
2021-05-01,Food,9000
2021-06-01,Electronics,11250
2021-06-01,Clothing,6250
2021-06-01,Food,9250
2021-07-01,Electronics,11500
2021-07-01,Clothing,6500
2021-07-01,Food,9500
2021-08-01,Electronics,11750
2021-08-01,Clothing,6750
2021-08-01,Food,9750
2021-09-01,Electronics,12000
2021-09-01,Clothing,7000
2021-09-01,Food,10000
2021-10-01,Electronics,12250
2021-10-01,Clothing,7250
2021-10-01,Food,10250
2021-11-01,Electronics,12500
2021-11-01,Clothing,7500
2021-11-01,Food,10500
2021-12-01,Electronics,12750
2021-12-01,Clothing,7750
2021-12-01,Food,10750
2022-01-01,Electronics,10600
2022-01-01,Clothing,5600
2022-01-01,Food,8600
2022-02-01,Electronics,10850
2022-02-01,Clothing,5850
2022-02-01,Food,8850
2022-03-01,Electronics,11100
2022-03-01,Clothing,6100
2022-03-01,Food,9100
2022-04-01,Electronics,11350
2022-04-01,Clothing,6350
2022-04-01,Food,9350
2022-05-01,Electronics,11600
2022-05-01,Clothing,6600
2022-05-01,Food,9600
2022-06-01,Electronics,11850
2022-06-01,Clothing,6850
2022-06-01,Food,9850
2022-07-01,Electronics,12100
2022-07-01,Clothing,7100
2022-07-01,Food,10100
2022-08-01,Electronics,12350
2022-08-01,Clothing,7350
2022-08-01,Food,10350
2022-09-01,Electronics,12600
2022-09-01,Clothing,7600
2022-09-01,Food,10600
2022-10-01,Electronics,12850
2022-10-01,Clothing,7850
2022-10-01,Food,10850
2022-11-01,Electronics,13100
2022-11-01,Clothing,8100
2022-11-01,Food,11100
2022-12-01,Electronics,13350
2022-12-01,Clothing,8350
2022-12-01,Food,11350
2023-01-01,Electronics,11200
2023-01-01,Clothing,6200
2023-01-01,Food,9200
2023-02-01,Electronics,11450
2023-02-01,Clothing,6450
2023-02-01,Food,9450
2023-03-01,Electronics,11700
2023-03-01,Clothing,6700
2023-03-01,Food,9700
2023-04-01,Electronics,11950
2023-04-01,Clothing,6950
2023-04-01,Food,9950
2023-05-01,Electronics,12200
2023-05-01,Clothing,7200
2023-05-01,Food,10200
2023-06-01,Electronics,12450
2023-06-01,Clothing,7450
2023-06-01,Food,10450
2023-07-01,Electronics,12700
2023-07-01,Clothing,7700
2023-07-01,Food,10700
2023-08-01,Electronics,12950
2023-08-01,Clothing,7950
2023-08-01,Food,10950
2023-09-01,Electronics,13200
2023-09-01,Clothing,8200
2023-09-01,Food,11200
2023-10-01,Electronics,13450
2023-10-01,Clothing,8450
2023-10-01,Food,11450
2023-11-01,Electronics,13700
2023-11-01,Clothing,8700
2023-11-01,Food,11700
2023-12-01,Electronics,13950
2023-12-01,Clothing,8950
2023-12-01,Food,11950
