fecha,sku,nombre,cantidad
2024-01-01,SKU-001,Aceite de Oliva 1L,25
2024-01-01,SKU-002,Arroz 5kg,79
2024-01-01,SKU-003,Leche Entera 1L,118
2024-01-01,SKU-004,Azucar 2kg,49
2024-01-01,SKU-005,Sal 1kg,30
2024-01-02,SKU-001,Aceite de Oliva 1L,20
2024-01-02,SKU-002,Arroz 5kg,84
2024-01-02,SKU-003,Leche Entera 1L,115
2024-01-02,SKU-004,Azucar 2kg,44
2024-01-02,SKU-005,Sal 1kg,31
2024-01-03,SKU-001,Aceite de Oliva 1L,26
2024-01-03,SKU-002,Arroz 5kg,91
2024-01-03,SKU-003,Leche Entera 1L,138
2024-01-03,SKU-004,Azucar 2kg,46
2024-01-03,SKU-005,Sal 1kg,29
2024-01-04,SKU-001,Aceite de Oliva 1L,22
2024-01-04,SKU-002,Arroz 5kg,84
2024-01-04,SKU-003,Leche Entera 1L,155
2024-01-04,SKU-004,Azucar 2kg,46
2024-01-04,SKU-005,Sal 1kg,30
2024-01-05,SKU-001,Aceite de Oliva 1L,28
2024-01-05,SKU-002,Arroz 5kg,70
2024-01-05,SKU-003,Leche Entera 1L,116
2024-01-05,SKU-004,Azucar 2kg,49
2024-01-05,SKU-005,Sal 1kg,33
2024-01-06,SKU-001,Aceite de Oliva 1L,25
2024-01-06,SKU-002,Arroz 5kg,86
2024-01-06,SKU-003,Leche Entera 1L,130
2024-01-06,SKU-004,Azucar 2kg,51
2024-01-06,SKU-005,Sal 1kg,28
2024-01-07,SKU-001,Aceite de Oliva 1L,20
2024-01-07,SKU-002,Arroz 5kg,49
2024-01-07,SKU-003,Leche Entera 1L,42
2024-01-07,SKU-004,Azucar 2kg,30
2024-01-07,SKU-005,Sal 1kg,20
2024-01-08,SKU-001,Aceite de Oliva 1L,30
2024-01-08,SKU-002,Arroz 5kg,89
2024-01-08,SKU-003,Leche Entera 1L,95
2024-01-08,SKU-004,Azucar 2kg,52
2024-01-08,SKU-005,Sal 1kg,29
2024-01-09,SKU-001,Aceite de Oliva 1L,26
2024-01-09,SKU-002,Arroz 5kg,81
2024-01-09,SKU-003,Leche Entera 1L,129
2024-01-09,SKU-004,Azucar 2kg,52
2024-01-09,SKU-005,Sal 1kg,33
2024-01-10,SKU-001,Aceite de Oliva 1L,28
2024-01-10,SKU-002,Arroz 5kg,90
2024-01-10,SKU-003,Leche Entera 1L,139
2024-01-10,SKU-004,Azucar 2kg,44
2024-01-10,SKU-005,Sal 1kg,30
2024-01-11,SKU-001,Aceite de Oliva 1L,25
2024-01-11,SKU-002,Arroz 5kg,89
2024-01-11,SKU-003,Leche Entera 1L,121
2024-01-11,SKU-004,Azucar 2kg,61
2024-01-11,SKU-005,Sal 1kg,30
2024-01-12,SKU-001,Aceite de Oliva 1L,22
2024-01-12,SKU-002,Arroz 5kg,92
2024-01-12,SKU-003,Leche Entera 1L,164
2024-01-12,SKU-004,Azucar 2kg,51
2024-01-12,SKU-005,Sal 1kg,34
2024-01-13,SKU-001,Aceite de Oliva 1L,32
2024-01-13,SKU-002,Arroz 5kg,85
2024-01-13,SKU-003,Leche Entera 1L,92
2024-01-13,SKU-004,Azucar 2kg,45
2024-01-13,SKU-005,Sal 1kg,35
2024-01-14,SKU-001,Aceite de Oliva 1L,15
2024-01-14,SKU-002,Arroz 5kg,60
2024-01-14,SKU-003,Leche Entera 1L,95
2024-01-14,SKU-004,Azucar 2kg,33
2024-01-14,SKU-005,Sal 1kg,24
2024-01-15,SKU-001,Aceite de Oliva 1L,29
2024-01-15,SKU-002,Arroz 5kg,107
2024-01-15,SKU-003,Leche Entera 1L,146
2024-01-15,SKU-004,Azucar 2kg,45
2024-01-15,SKU-005,Sal 1kg,31
2024-01-16,SKU-001,Aceite de Oliva 1L,24
2024-01-16,SKU-002,Arroz 5kg,95
2024-01-16,SKU-003,Leche Entera 1L,116
2024-01-16,SKU-004,Azucar 2kg,48
2024-01-16,SKU-005,Sal 1kg,35
2024-01-17,SKU-001,Aceite de Oliva 1L,24
2024-01-17,SKU-002,Arroz 5kg,85
2024-01-17,SKU-003,Leche Entera 1L,83
2024-01-17,SKU-004,Azucar 2kg,43
2024-01-17,SKU-005,Sal 1kg,31
2024-01-18,SKU-001,Aceite de Oliva 1L,29
2024-01-18,SKU-002,Arroz 5kg,98
2024-01-18,SKU-003,Leche Entera 1L,131
2024-01-18,SKU-004,Azucar 2kg,51
2024-01-18,SKU-005,Sal 1kg,33
2024-01-19,SKU-001,Aceite de Oliva 1L,32
2024-01-19,SKU-002,Arroz 5kg,96
2024-01-19,SKU-003,Leche Entera 1L,140
2024-01-19,SKU-004,Azucar 2kg,44
2024-01-19,SKU-005,Sal 1kg,35
2024-01-20,SKU-001,Aceite de Oliva 1L,29
2024-01-20,SKU-002,Arroz 5kg,99
2024-01-20,SKU-003,Leche Entera 1L,132
2024-01-20,SKU-004,Azucar 2kg,62
2024-01-20,SKU-005,Sal 1kg,32
2024-01-21,SKU-001,Aceite de Oliva 1L,24
2024-01-21,SKU-002,Arroz 5kg,63
2024-01-21,SKU-003,Leche Entera 1L,84
2024-01-21,SKU-004,Azucar 2kg,30
2024-01-21,SKU-005,Sal 1kg,23
2024-01-22,SKU-001,Aceite de Oliva 1L,34
2024-01-22,SKU-002,Arroz 5kg,97
2024-01-22,SKU-003,Leche Entera 1L,153
2024-01-22,SKU-004,Azucar 2kg,36
2024-01-22,SKU-005,Sal 1kg,35
2024-01-23,SKU-001,Aceite de Oliva 1L,30
2024-01-23,SKU-002,Arroz 5kg,85
2024-01-23,SKU-003,Leche Entera 1L,118
2024-01-23,SKU-004,Azucar 2kg,51
2024-01-23,SKU-005,Sal 1kg,38
2024-01-24,SKU-001,Aceite de Oliva 1L,24
2024-01-24,SKU-002,Arroz 5kg,86
2024-01-24,SKU-003,Leche Entera 1L,172
2024-01-24,SKU-004,Azucar 2kg,48
2024-01-24,SKU-005,Sal 1kg,33
2024-01-25,SKU-001,Aceite de Oliva 1L,29
2024-01-25,SKU-002,Arroz 5kg,79
2024-01-25,SKU-003,Leche Entera 1L,142
2024-01-25,SKU-004,Azucar 2kg,44
2024-01-25,SKU-005,Sal 1kg,36
2024-01-26,SKU-001,Aceite de Oliva 1L,28
2024-01-26,SKU-002,Arroz 5kg,112
2024-01-26,SKU-003,Leche Entera 1L,144
2024-01-26,SKU-004,Azucar 2kg,60
2024-01-26,SKU-005,Sal 1kg,31
2024-01-27,SKU-001,Aceite de Oliva 1L,28
2024-01-27,SKU-002,Arroz 5kg,94
2024-01-27,SKU-003,Leche Entera 1L,185
2024-01-27,SKU-004,Azucar 2kg,41
2024-01-27,SKU-005,Sal 1kg,37
2024-01-28,SKU-001,Aceite de Oliva 1L,22
2024-01-28,SKU-002,Arroz 5kg,74
2024-01-28,SKU-003,Leche Entera 1L,110
2024-01-28,SKU-004,Azucar 2kg,36
2024-01-28,SKU-005,Sal 1kg,23
2024-01-29,SKU-001,Aceite de Oliva 1L,23
2024-01-29,SKU-002,Arroz 5kg,94
2024-01-29,SKU-003,Leche Entera 1L,133
2024-01-29,SKU-004,Azucar 2kg,64
2024-01-29,SKU-005,Sal 1kg,33
2024-01-30,SKU-001,Aceite de Oliva 1L,30
2024-01-30,SKU-002,Arroz 5kg,78
2024-01-30,SKU-003,Leche Entera 1L,128
2024-01-30,SKU-004,Azucar 2kg,54
2024-01-30,SKU-005,Sal 1kg,37
2024-01-31,SKU-001,Aceite de Oliva 1L,35
2024-01-31,SKU-002,Arroz 5kg,93
2024-01-31,SKU-003,Leche Entera 1L,108
2024-01-31,SKU-004,Azucar 2kg,55
2024-01-31,SKU-005,Sal 1kg,36
2024-02-01,SKU-001,Aceite de Oliva 1L,31
2024-02-01,SKU-002,Arroz 5kg,87
2024-02-01,SKU-003,Leche Entera 1L,172
2024-02-01,SKU-004,Azucar 2kg,53
2024-02-01,SKU-005,Sal 1kg,37
2024-02-02,SKU-001,Aceite de Oliva 1L,35
2024-02-02,SKU-002,Arroz 5kg,100
2024-02-02,SKU-003,Leche Entera 1L,149
2024-02-02,SKU-004,Azucar 2kg,66
2024-02-02,SKU-005,Sal 1kg,36
2024-02-03,SKU-001,Aceite de Oliva 1L,28
2024-02-03,SKU-002,Arroz 5kg,95
2024-02-03,SKU-003,Leche Entera 1L,183
2024-02-03,SKU-004,Azucar 2kg,54
2024-02-03,SKU-005,Sal 1kg,37
2024-02-04,SKU-001,Aceite de Oliva 1L,24
2024-02-04,SKU-002,Arroz 5kg,63
2024-02-04,SKU-003,Leche Entera 1L,65
2024-02-04,SKU-004,Azucar 2kg,39
2024-02-04,SKU-005,Sal 1kg,25
2024-02-05,SKU-001,Aceite de Oliva 1L,27
2024-02-05,SKU-002,Arroz 5kg,103
2024-02-05,SKU-003,Leche Entera 1L,160
2024-02-05,SKU-004,Azucar 2kg,47
2024-02-05,SKU-005,Sal 1kg,37
2024-02-06,SKU-001,Aceite de Oliva 1L,29
2024-02-06,SKU-002,Arroz 5kg,81
2024-02-06,SKU-003,Leche Entera 1L,156
2024-02-06,SKU-004,Azucar 2kg,53
2024-02-06,SKU-005,Sal 1kg,34
2024-02-07,SKU-001,Aceite de Oliva 1L,32
2024-02-07,SKU-002,Arroz 5kg,100
2024-02-07,SKU-003,Leche Entera 1L,127
2024-02-07,SKU-004,Azucar 2kg,56
2024-02-07,SKU-005,Sal 1kg,39
2024-02-08,SKU-001,Aceite de Oliva 1L,27
2024-02-08,SKU-002,Arroz 5kg,100
2024-02-08,SKU-003,Leche Entera 1L,144
2024-02-08,SKU-004,Azucar 2kg,69
2024-02-08,SKU-005,Sal 1kg,31
2024-02-09,SKU-001,Aceite de Oliva 1L,33
2024-02-09,SKU-002,Arroz 5kg,93
2024-02-09,SKU-003,Leche Entera 1L,142
2024-02-09,SKU-004,Azucar 2kg,67
2024-02-09,SKU-005,Sal 1kg,36
2024-02-10,SKU-001,Aceite de Oliva 1L,40
2024-02-10,SKU-002,Arroz 5kg,92
2024-02-10,SKU-003,Leche Entera 1L,155
2024-02-10,SKU-004,Azucar 2kg,51
2024-02-10,SKU-005,Sal 1kg,34
2024-02-11,SKU-001,Aceite de Oliva 1L,21
2024-02-11,SKU-002,Arroz 5kg,66
2024-02-11,SKU-003,Leche Entera 1L,106
2024-02-11,SKU-004,Azucar 2kg,29
2024-02-11,SKU-005,Sal 1kg,30
2024-02-12,SKU-001,Aceite de Oliva 1L,30
2024-02-12,SKU-002,Arroz 5kg,114
2024-02-12,SKU-003,Leche Entera 1L,117
2024-02-12,SKU-004,Azucar 2kg,57
2024-02-12,SKU-005,Sal 1kg,46
2024-02-13,SKU-001,Aceite de Oliva 1L,27
2024-02-13,SKU-002,Arroz 5kg,83
2024-02-13,SKU-003,Leche Entera 1L,131
2024-02-13,SKU-004,Azucar 2kg,58
2024-02-13,SKU-005,Sal 1kg,39
2024-02-14,SKU-001,Aceite de Oliva 1L,37
2024-02-14,SKU-002,Arroz 5kg,96
2024-02-14,SKU-003,Leche Entera 1L,100
2024-02-14,SKU-004,Azucar 2kg,52
2024-02-14,SKU-005,Sal 1kg,40
2024-02-15,SKU-001,Aceite de Oliva 1L,33
2024-02-15,SKU-002,Arroz 5kg,79
2024-02-15,SKU-003,Leche Entera 1L,147
2024-02-15,SKU-004,Azucar 2kg,65
2024-02-15,SKU-005,Sal 1kg,43
2024-02-16,SKU-001,Aceite de Oliva 1L,33
2024-02-16,SKU-002,Arroz 5kg,102
2024-02-16,SKU-003,Leche Entera 1L,111
2024-02-16,SKU-004,Azucar 2kg,50
2024-02-16,SKU-005,Sal 1kg,37
2024-02-17,SKU-001,Aceite de Oliva 1L,33
2024-02-17,SKU-002,Arroz 5kg,105
2024-02-17,SKU-003,Leche Entera 1L,134
2024-02-17,SKU-004,Azucar 2kg,48
2024-02-17,SKU-005,Sal 1kg,35
2024-02-18,SKU-001,Aceite de Oliva 1L,18
2024-02-18,SKU-002,Arroz 5kg,74
2024-02-18,SKU-003,Leche Entera 1L,56
2024-02-18,SKU-004,Azucar 2kg,38
2024-02-18,SKU-005,Sal 1kg,27
2024-02-19,SKU-001,Aceite de Oliva 1L,38
2024-02-19,SKU-002,Arroz 5kg,100
2024-02-19,SKU-003,Leche Entera 1L,179
2024-02-19,SKU-004,Azucar 2kg,53
2024-02-19,SKU-005,Sal 1kg,35
2024-02-20,SKU-001,Aceite de Oliva 1L,28
2024-02-20,SKU-002,Arroz 5kg,115
2024-02-20,SKU-003,Leche Entera 1L,180
2024-02-20,SKU-004,Azucar 2kg,60
2024-02-20,SKU-005,Sal 1kg,47
2024-02-21,SKU-001,Aceite de Oliva 1L,31
2024-02-21,SKU-002,Arroz 5kg,106
2024-02-21,SKU-003,Leche Entera 1L,160
2024-02-21,SKU-004,Azucar 2kg,55
2024-02-21,SKU-005,Sal 1kg,45
2024-02-22,SKU-001,Aceite de Oliva 1L,39
2024-02-22,SKU-002,Arroz 5kg,86
2024-02-22,SKU-003,Leche Entera 1L,139
2024-02-22,SKU-004,Azucar 2kg,59
2024-02-22,SKU-005,Sal 1kg,40
2024-02-23,SKU-001,Aceite de Oliva 1L,25
2024-02-23,SKU-002,Arroz 5kg,78
2024-02-23,SKU-003,Leche Entera 1L,94
2024-02-23,SKU-004,Azucar 2kg,56
2024-02-23,SKU-005,Sal 1kg,37
2024-02-24,SKU-001,Aceite de Oliva 1L,33
2024-02-24,SKU-002,Arroz 5kg,93
2024-02-24,SKU-003,Leche Entera 1L,115
2024-02-24,SKU-004,Azucar 2kg,43
2024-02-24,SKU-005,Sal 1kg,39
2024-02-25,SKU-001,Aceite de Oliva 1L,23
2024-02-25,SKU-002,Arroz 5kg,78
2024-02-25,SKU-003,Leche Entera 1L,123
2024-02-25,SKU-004,Azucar 2kg,39
2024-02-25,SKU-005,Sal 1kg,29
2024-02-26,SKU-001,Aceite de Oliva 1L,31
2024-02-26,SKU-002,Arroz 5kg,95
2024-02-26,SKU-003,Leche Entera 1L,137
2024-02-26,SKU-004,Azucar 2kg,53
2024-02-26,SKU-005,Sal 1kg,32
2024-02-27,SKU-001,Aceite de Oliva 1L,33
2024-02-27,SKU-002,Arroz 5kg,104
2024-02-27,SKU-003,Leche Entera 1L,142
2024-02-27,SKU-004,Azucar 2kg,52
2024-02-27,SKU-005,Sal 1kg,39
2024-02-28,SKU-001,Aceite de Oliva 1L,40
2024-02-28,SKU-002,Arroz 5kg,103
2024-02-28,SKU-003,Leche Entera 1L,138
2024-02-28,SKU-004,Azucar 2kg,53
2024-02-28,SKU-005,Sal 1kg,38
2024-02-29,SKU-001,Aceite de Oliva 1L,26
2024-02-29,SKU-002,Arroz 5kg,101
2024-02-29,SKU-003,Leche Entera 1L,155
2024-02-29,SKU-004,Azucar 2kg,70
2024-02-29,SKU-005,Sal 1kg,41
2024-03-01,SKU-001,Aceite de Oliva 1L,37
2024-03-01,SKU-002,Arroz 5kg,95
2024-03-01,SKU-003,Leche Entera 1L,175
2024-03-01,SKU-004,Azucar 2kg,50
2024-03-01,SKU-005,Sal 1kg,39
2024-03-02,SKU-001,Aceite de Oliva 1L,34
2024-03-02,SKU-002,Arroz 5kg,95
2024-03-02,SKU-003,Leche Entera 1L,216
2024-03-02,SKU-004,Azucar 2kg,62
2024-03-02,SKU-005,Sal 1kg,33
2024-03-03,SKU-001,Aceite de Oliva 1L,24
2024-03-03,SKU-002,Arroz 5kg,69
2024-03-03,SKU-003,Leche Entera 1L,108
2024-03-03,SKU-004,Azucar 2kg,43
2024-03-03,SKU-005,Sal 1kg,28
2024-03-04,SKU-001,Aceite de Oliva 1L,22
2024-03-04,SKU-002,Arroz 5kg,91
2024-03-04,SKU-003,Leche Entera 1L,179
2024-03-04,SKU-004,Azucar 2kg,67
2024-03-04,SKU-005,Sal 1kg,45
2024-03-05,SKU-001,Aceite de Oliva 1L,41
2024-03-05,SKU-002,Arroz 5kg,82
2024-03-05,SKU-003,Leche Entera 1L,179
2024-03-05,SKU-004,Azucar 2kg,45
2024-03-05,SKU-005,Sal 1kg,44
2024-03-06,SKU-001,Aceite de Oliva 1L,34
2024-03-06,SKU-002,Arroz 5kg,92
2024-03-06,SKU-003,Leche Entera 1L,218
2024-03-06,SKU-004,Azucar 2kg,63
2024-03-06,SKU-005,Sal 1kg,33
2024-03-07,SKU-001,Aceite de Oliva 1L,34
2024-03-07,SKU-002,Arroz 5kg,96
2024-03-07,SKU-003,Leche Entera 1L,159
2024-03-07,SKU-004,Azucar 2kg,55
2024-03-07,SKU-005,Sal 1kg,43
2024-03-08,SKU-001,Aceite de Oliva 1L,26
2024-03-08,SKU-002,Arroz 5kg,107
2024-03-08,SKU-003,Leche Entera 1L,213
2024-03-08,SKU-004,Azucar 2kg,53
2024-03-08,SKU-005,Sal 1kg,40
2024-03-09,SKU-001,Aceite de Oliva 1L,34
2024-03-09,SKU-002,Arroz 5kg,97
2024-03-09,SKU-003,Leche Entera 1L,177
2024-03-09,SKU-004,Azucar 2kg,59
2024-03-09,SKU-005,Sal 1kg,36
2024-03-10,SKU-001,Aceite de Oliva 1L,29
2024-03-10,SKU-002,Arroz 5kg,79
2024-03-10,SKU-003,Leche Entera 1L,106
2024-03-10,SKU-004,Azucar 2kg,38
2024-03-10,SKU-005,Sal 1kg,26
2024-03-11,SKU-001,Aceite de Oliva 1L,39
2024-03-11,SKU-002,Arroz 5kg,103
2024-03-11,SKU-003,Leche Entera 1L,171
2024-03-11,SKU-004,Azucar 2kg,58
2024-03-11,SKU-005,Sal 1kg,41
2024-03-12,SKU-001,Aceite de Oliva 1L,32
2024-03-12,SKU-002,Arroz 5kg,113
2024-03-12,SKU-003,Leche Entera 1L,152
2024-03-12,SKU-004,Azucar 2kg,65
2024-03-12,SKU-005,Sal 1kg,41
2024-03-13,SKU-001,Aceite de Oliva 1L,32
2024-03-13,SKU-002,Arroz 5kg,96
2024-03-13,SKU-003,Leche Entera 1L,128
2024-03-13,SKU-004,Azucar 2kg,54
2024-03-13,SKU-005,Sal 1kg,36
2024-03-14,SKU-001,Aceite de Oliva 1L,37
2024-03-14,SKU-002,Arroz 5kg,105
2024-03-14,SKU-003,Leche Entera 1L,207
2024-03-14,SKU-004,Azucar 2kg,75
2024-03-14,SKU-005,Sal 1kg,40
2024-03-15,SKU-001,Aceite de Oliva 1L,25
2024-03-15,SKU-002,Arroz 5kg,101
2024-03-15,SKU-003,Leche Entera 1L,156
2024-03-15,SKU-004,Azucar 2kg,49
2024-03-15,SKU-005,Sal 1kg,39
2024-03-16,SKU-001,Aceite de Oliva 1L,34
2024-03-16,SKU-002,Arroz 5kg,101
2024-03-16,SKU-003,Leche Entera 1L,134
2024-03-16,SKU-004,Azucar 2kg,54
2024-03-16,SKU-005,Sal 1kg,45
2024-03-17,SKU-001,Aceite de Oliva 1L,23
2024-03-17,SKU-002,Arroz 5kg,68
2024-03-17,SKU-003,Leche Entera 1L,103
2024-03-17,SKU-004,Azucar 2kg,46
2024-03-17,SKU-005,Sal 1kg,26
2024-03-18,SKU-001,Aceite de Oliva 1L,35
2024-03-18,SKU-002,Arroz 5kg,113
2024-03-18,SKU-003,Leche Entera 1L,182
2024-03-18,SKU-004,Azucar 2kg,69
2024-03-18,SKU-005,Sal 1kg,38
2024-03-19,SKU-001,Aceite de Oliva 1L,39
2024-03-19,SKU-002,Arroz 5kg,97
2024-03-19,SKU-003,Leche Entera 1L,146
2024-03-19,SKU-004,Azucar 2kg,68
2024-03-19,SKU-005,Sal 1kg,42
2024-03-20,SKU-001,Aceite de Oliva 1L,33
2024-03-20,SKU-002,Arroz 5kg,93
2024-03-20,SKU-003,Leche Entera 1L,177
2024-03-20,SKU-004,Azucar 2kg,55
2024-03-20,SKU-005,Sal 1kg,37
2024-03-21,SKU-001,Aceite de Oliva 1L,30
2024-03-21,SKU-002,Arroz 5kg,109
2024-03-21,SKU-003,Leche Entera 1L,92
2024-03-21,SKU-004,Azucar 2kg,62
2024-03-21,SKU-005,Sal 1kg,40
2024-03-22,SKU-001,Aceite de Oliva 1L,30
2024-03-22,SKU-002,Arroz 5kg,117
