fecha,sku,ventas
2023-01-01,A,80
2023-01-02,A,80
2023-01-03,A,80
2023-01-04,A,80
2023-01-05,A,80
2023-01-06,A,
2023-01-07,A,80
2023-01-08,A,80
2023-01-09,A,80
2023-01-10,A,80
2023-01-11,A,80
2023-01-12,A,80
2023-01-13,A,80
2023-01-14,A,80
2023-01-15,A,80
2023-01-16,A,
2023-01-17,A,80
2023-01-18,A,80
2023-01-19,A,80
2023-01-20,A,80
2023-01-21,A,80
2023-01-22,A,80
2023-01-23,A,80
2023-01-24,A,80
2023-01-25,A,80
2023-01-26,A,
2023-01-27,A,80
2023-01-28,A,80
2023-01-29,A,80
2023-01-30,A,80
2023-02-01,A,80
2023-02-02,A,80
2023-02-03,A,80
2023-02-04,A,80
2023-02-05,A,80
2023-02-06,A,
2023-02-07,A,80
2023-02-08,A,80
2023-02-09,A,80
2023-02-10,A,80
2023-02-11,A,80
2023-02-12,A,80
2023-02-13,A,80
2023-02-14,A,80
2023-02-15,A,80
2023-02-16,A,80
2023-02-17,A,80
2023-02-18,A,80
2023-02-19,A,80
2023-02-20,A,80
2023-02-21,A,80
2023-02-22,A,80
2023-02-23,A,80
2023-02-24,A,80
2023-02-25,A,80
2023-02-26,A,80
2023-02-27,A,80
2023-02-28,A,80
2023-02-29,A,80
2023-02-30,A,80
