fecha,sku,ventas
2023-01-01,SKU-A,51
2023-01-02,SKU-A,52
2023-01-03,SKU-A,53
2023-01-04,SKU-A,54
2023-01-05,SKU-A,55
2023-01-06,SKU-A,56
2023-01-07,SKU-A,57
2023-01-08,SKU-A,58
2023-01-09,SKU-A,59
2023-01-10,SKU-A,60
2023-01-11,SKU-A,61
2023-01-12,SKU-A,62
2023-01-13,SKU-A,63
2023-01-14,SKU-A,64
2023-01-15,SKU-A,65
2023-01-16,SKU-A,66
2023-01-17,SKU-A,67
2023-01-18,SKU-A,68
2023-01-19,SKU-A,69
2023-01-20,SKU-A,70
2023-01-21,SKU-A,71
2023-01-22,SKU-A,72
2023-01-23,SKU-A,73
2023-01-24,SKU-A,74
2023-01-25,SKU-A,75
2023-01-26,SKU-A,76
2023-01-27,SKU-A,77
2023-01-28,SKU-A,78
2023-01-29,SKU-A,79
2023-01-30,SKU-A,80
2023-01-05,SKU-A,999
2023-01-10,SKU-A,999
