date,sales
2022-01-01,200
2022-01-02,289
2022-01-03,318
2022-01-04,273
2022-01-05,194
2022-01-06,146
2022-01-07,169
2022-01-08,250
2022-01-09,328
2022-01-10,345
2022-01-11,287
2022-01-12,194
2022-01-13,132
2022-01-14,142
2022-01-15,210
2022-01-16,278
2022-01-17,287
2022-01-18,223
2022-01-19,127
2022-01-20,65
2022-01-21,79
2022-01-22,152
2022-01-23,228
2022-01-24,248
2022-01-25,196
2022-01-26,113
2022-01-27,65
2022-01-28,92
2022-01-29,180
2022-01-30,268
2022-01-31,298
2022-02-01,255
2022-02-02,178
2022-02-03,133
2022-02-04,160
2022-02-05,244
2022-02-06,327
2022-02-07,348
2022-02-08,294
2022-02-09,205
2022-02-10,147
2022-02-11,160
2022-02-12,230
2022-02-13,300
2022-02-14,309
2022-02-15,244
2022-02-16,147
2022-02-17,83
2022-02-18,93
2022-02-19,164
2022-02-20,236
2022-02-21,251
2022-02-22,195
2022-02-23,108
2022-02-24,56
2022-02-25,80
2022-02-26,164
2022-02-27,250
2022-02-28,278
2022-03-01,234
2022-03-02,159
2022-03-03,115
2022-03-04,144
2022-03-05,231
2022-03-06,317
2022-03-07,343
2022-03-08,293
2022-03-09,208
2022-03-10,154
2022-03-11,171
2022-03-12,245
2022-03-13,317
2022-03-14,329
2022-03-15,266
2022-03-16,169
2022-03-17,105
2022-03-18,113
2022-03-19,182
2022-03-20,251
2022-03-21,262
2022-03-22,202
2022-03-23,111
2022-03-24,55
2022-03-25,74
2022-03-26,154
2022-03-27,237
2022-03-28,262
2022-03-29,216
2022-03-30,138
2022-03-31,94
2022-04-01,125
2022-04-02,213
2022-04-03,302
2022-04-04,330
2022-04-05,284
2022-04-06,203
2022-04-07,153
2022-04-08,175
2022-04-09,253
2022-04-10,329
2022-04-11,344
2022-04-12,284
2022-04-13,189
2022-04-14,126
2022-04-15,135
2022-04-16,203
2022-04-17,271
2022-04-18,280
2022-04-19,217
2022-04-20,122
2022-04-21,62
2022-04-22,77
2022-04-23,153
2022-04-24,231
2022-04-25,253
2022-04-26,203
2022-04-27,122
2022-04-28,76
2022-04-29,104
2022-04-30,193
2022-05-01,282
2022-05-02,312
2022-05-03,268
2022-05-04,190
2022-05-05,144
2022-05-06,169
2022-05-07,252
2022-05-08,332
2022-05-09,351
2022-05-10,295
2022-05-11,204
2022-05-12,144
2022-05-13,155
2022-05-14,224
2022-05-15,293
2022-05-16,301
2022-05-17,237
2022-05-18,140
2022-05-19,77
2022-05-20,89
2022-05-21,161
2022-05-22,235
2022-05-23,252
2022-05-24,198
2022-05-25,113
2022-05-26,63
2022-05-27,89
2022-05-28,175
2022-05-29,262
2022-05-30,291
2022-05-31,248
2022-06-01,172
2022-06-02,128
2022-06-03,156
2022-06-04,242
2022-06-05,326
2022-06-06,350
2022-06-07,298
2022-06-08,211
2022-06-09,155
2022-06-10,170
2022-06-11,242
2022-06-12,313
2022-06-13,323
2022-06-14,259
2022-06-15,162
2022-06-16,97
2022-06-17,106
2022-06-18,176
2022-06-19,246
2022-06-20,259
2022-06-21,201
2022-06-22,112
2022-06-23,58
2022-06-24,79
2022-06-25,162
2022-06-26,246
2022-06-27,273
2022-06-28,228
2022-06-29,151
2022-06-30,109
2022-07-01,138
2022-07-02,226
2022-07-03,314
2022-07-04,341
2022-07-05,293
2022-07-06,210
2022-07-07,158
2022-07-08,178
2022-07-09,254
2022-07-10,327
2022-07-11,341
2022-07-12,279
2022-07-13,183
2022-07-14,119
2022-07-15,128
2022-07-16,196
2022-07-17,264
2022-07-18,274
2022-07-19,212
2022-07-20,119
2022-07-21,61
2022-07-22,78
2022-07-23,156
2022-07-24,237
2022-07-25,260
2022-07-26,212
2022-07-27,133
2022-07-28,88
2022-07-29,117
2022-07-30,207
2022-07-31,296
2022-08-01,325
2022-08-02,280
2022-08-03,201
2022-08-04,153
2022-08-05,176
2022-08-06,257
2022-08-07,335
2022-08-08,352
2022-08-09,294
2022-08-10,201
2022-08-11,139
2022-08-12,149
2022-08-13,217
2022-08-14,285
2022-08-15,294
2022-08-16,230
2022-08-17,134
2022-08-18,72
2022-08-19,86
2022-08-20,159
2022-08-21,235
2022-08-22,255
2022-08-23,203
2022-08-24,120
2022-08-25,72
2022-08-26,99
2022-08-27,187
2022-08-28,275
2022-08-29,305
2022-08-30,262
2022-08-31,185
2022-09-01,140
2022-09-02,167
2022-09-03,251
2022-09-04,334
2022-09-05,355
2022-09-06,301
2022-09-07,212
2022-09-08,154
2022-09-09,167
2022-09-10,237
2022-09-11,307
2022-09-12,316
2022-09-13,251
2022-09-14,154
2022-09-15,90
2022-09-16,100
2022-09-17,171
2022-09-18,243
2022-09-19,258
2022-09-20,202
2022-09-21,115
2022-09-22,63
2022-09-23,87
2022-09-24,171
2022-09-25,257
2022-09-26,285
2022-09-27,241
2022-09-28,166
2022-09-29,122
2022-09-30,151
2022-10-01,238
2022-10-02,324
2022-10-03,350
2022-10-04,300
2022-10-05,215
2022-10-06,161
2022-10-07,178
2022-10-08,252
2022-10-09,324
2022-10-10,336
2022-10-11,273
2022-10-12,176
2022-10-13,112
2022-10-14,120
2022-10-15,189
2022-10-16,258
2022-10-17,269
2022-10-18,209
2022-10-19,118
2022-10-20,62
2022-10-21,81
2022-10-22,161
2022-10-23,244
2022-10-24,269
2022-10-25,223
2022-10-26,145
2022-10-27,101
2022-10-28,132
2022-10-29,220
2022-10-30,309
2022-10-31,337
2022-11-01,291
2022-11-02,210
2022-11-03,160
2022-11-04,182
2022-11-05,260
2022-11-06,336
2022-11-07,351
2022-11-08,291
2022-11-09,196
2022-11-10,133
2022-11-11,142
2022-11-12,210
2022-11-13,278
2022-11-14,287
2022-11-15,224
2022-11-16,129
2022-11-17,69
2022-11-18,84
2022-11-19,160
2022-11-20,238
2022-11-21,260
2022-11-22,210
2022-11-23,129
2022-11-24,83
2022-11-25,111
2022-11-26,200
2022-11-27,289
2022-11-28,319
2022-11-29,275
2022-11-30,197
2022-12-01,151
2022-12-02,176
2022-12-03,259
2022-12-04,339
2022-12-05,358
2022-12-06,302
2022-12-07,211
2022-12-08,151
2022-12-09,162
2022-12-10,231
2022-12-11,300
2022-12-12,308
2022-12-13,244
2022-12-14,147
2022-12-15,84
2022-12-16,96
2022-12-17,168
2022-12-18,242
2022-12-19,259
2022-12-20,205
2022-12-21,120
2022-12-22,70
2022-12-23,96
2022-12-24,182
2022-12-25,269
2022-12-26,298
2022-12-27,255
2022-12-28,179
2022-12-29,135
2022-12-30,163
2022-12-31,249
