fecha,sku,ventas
2023-01-01,SKU-A,109
2023-01-02,SKU-A,97
2023-01-03,SKU-A,112
2023-01-04,SKU-A,130
2023-01-05,SKU-A,95
2023-01-06,SKU-A,95
2023-01-07,SKU-A,131
2023-01-08,SKU-A,115
2023-01-09,SKU-A,90
2023-01-10,SKU-A,110
2023-01-11,SKU-A,90
2023-01-12,SKU-A,90
2023-01-13,SKU-A,104
2023-01-14,SKU-A,61
2023-01-15,SKU-A,65
2023-01-16,SKU-A,88
2023-01-17,SKU-A,79
2023-01-18,SKU-A,106
2023-01-19,SKU-A,81
2023-01-20,SKU-A,71
2023-01-21,SKU-A,129
2023-01-22,SKU-A,95
2023-01-23,SKU-A,101
2023-01-24,SKU-A,71
2023-01-25,SKU-A,89
2023-01-26,SKU-A,102
2023-01-27,SKU-A,76
2023-01-28,SKU-A,107
2023-01-29,SKU-A,87
2023-01-30,SKU-A,94
2023-01-31,SKU-A,87
2023-02-01,SKU-A,137
2023-02-02,SKU-A,99
2023-02-03,SKU-A,78
2023-02-04,SKU-A,116
2023-02-05,SKU-A,75
2023-02-06,SKU-A,104
2023-02-07,SKU-A,60
2023-02-08,SKU-A,73
2023-02-09,SKU-A,103
2023-02-10,SKU-A,114
2023-02-11,SKU-A,103
2023-02-12,SKU-A,97
2023-02-13,SKU-A,93
2023-02-14,SKU-A,70
2023-02-15,SKU-A,85
2023-02-16,SKU-A,90
2023-02-17,SKU-A,121
2023-02-18,SKU-A,106
2023-02-19,SKU-A,64
2023-02-20,SKU-A,106
2023-02-21,SKU-A,92
2023-02-22,SKU-A,86
2023-02-23,SKU-A,112
2023-02-24,SKU-A,120
2023-02-25,SKU-A,118
2023-02-26,SKU-A,83
2023-02-27,SKU-A,93
2023-02-28,SKU-A,106
2023-03-01,SKU-A,119
2023-03-02,SKU-A,90
2023-03-03,SKU-A,96
2023-03-04,SKU-A,77
2023-03-05,SKU-A,76
2023-03-06,SKU-A,116
2023-03-07,SKU-A,127
2023-03-08,SKU-A,98
2023-03-09,SKU-A,120
2023-03-10,SKU-A,107
2023-03-11,SKU-A,87
2023-03-12,SKU-A,107
2023-03-13,SKU-A,130
2023-03-14,SKU-A,99
2023-03-15,SKU-A,131
2023-03-16,SKU-A,47
2023-03-17,SKU-A,116
2023-03-18,SKU-A,101
2023-03-19,SKU-A,94
2023-03-20,SKU-A,101
2023-03-21,SKU-A,60
2023-03-22,SKU-A,95
2023-03-23,SKU-A,107
2023-03-24,SKU-A,129
2023-03-25,SKU-A,89
2023-03-26,SKU-A,83
2023-03-27,SKU-A,89
2023-03-28,SKU-A,118
2023-03-29,SKU-A,106
2023-03-30,SKU-A,89
2023-03-31,SKU-A,110
2023-04-01,SKU-A,101
2023-04-02,SKU-A,119
2023-04-03,SKU-A,85
2023-04-04,SKU-A,93
2023-04-05,SKU-A,92
2023-04-06,SKU-A,70
2023-04-07,SKU-A,105
2023-04-08,SKU-A,105
2023-04-09,SKU-A,100
2023-04-10,SKU-A,95
2023-04-11,SKU-A,71
2023-04-12,SKU-A,91
2023-04-13,SKU-A,93
2023-04-14,SKU-A,83
2023-04-15,SKU-A,96
2023-04-16,SKU-A,108
2023-04-17,SKU-A,137
2023-04-18,SKU-A,103
2023-04-19,SKU-A,105
2023-04-20,SKU-A,98
2023-04-21,SKU-A,61
2023-04-22,SKU-A,99
2023-04-23,SKU-A,101
2023-04-24,SKU-A,149
2023-04-25,SKU-A,96
2023-04-26,SKU-A,106
2023-04-27,SKU-A,99
2023-04-28,SKU-A,76
2023-04-29,SKU-A,122
2023-04-30,SKU-A,115
2023-05-01,SKU-A,115
2023-05-02,SKU-A,81
2023-05-03,SKU-A,128
2023-05-04,SKU-A,71
2023-05-05,SKU-A,111
2023-05-06,SKU-A,143
2023-05-07,SKU-A,80
2023-05-08,SKU-A,88
2023-05-09,SKU-A,101
2023-05-10,SKU-A,89
2023-05-11,SKU-A,68
2023-05-12,SKU-A,101
2023-05-13,SKU-A,78
2023-05-14,SKU-A,109
2023-05-15,SKU-A,81
2023-05-16,SKU-A,130
2023-05-17,SKU-A,84
2023-05-18,SKU-A,93
2023-05-19,SKU-A,116
2023-05-20,SKU-A,75
2023-05-21,SKU-A,104
2023-05-22,SKU-A,126
2023-05-23,SKU-A,67
2023-05-24,SKU-A,103
2023-05-25,SKU-A,105
2023-05-26,SKU-A,115
2023-05-27,SKU-A,75
2023-05-28,SKU-A,73
2023-05-29,SKU-A,110
2023-05-30,SKU-A,105
2023-05-31,SKU-A,105
2023-06-01,SKU-A,106
2023-06-02,SKU-A,86
2023-06-03,SKU-A,104
2023-06-04,SKU-A,105
2023-06-05,SKU-A,85
2023-06-06,SKU-A,137
2023-06-07,SKU-A,109
2023-06-08,SKU-A,76
2023-06-09,SKU-A,113
2023-06-10,SKU-A,80
2023-06-11,SKU-A,115
2023-06-12,SKU-A,123
2023-06-13,SKU-A,83
2023-06-14,SKU-A,119
2023-06-15,SKU-A,108
2023-06-16,SKU-A,116
2023-06-17,SKU-A,137
2023-06-18,SKU-A,95
2023-06-19,SKU-A,84
2023-06-20,SKU-A,82
2023-06-21,SKU-A,83
2023-06-22,SKU-A,98
2023-06-23,SKU-A,106
2023-06-24,SKU-A,105
2023-06-25,SKU-A,116
2023-06-26,SKU-A,100
2023-06-27,SKU-A,129
2023-06-28,SKU-A,94
2023-06-29,SKU-A,154
2023-06-30,SKU-A,112
2023-07-01,SKU-A,82
2023-07-02,SKU-A,78
2023-07-03,SKU-A,109
2023-07-04,SKU-A,95
2023-07-05,SKU-A,114
2023-07-06,SKU-A,109
2023-07-07,SKU-A,98
2023-07-08,SKU-A,83
2023-07-09,SKU-A,69
2023-07-10,SKU-A,91
2023-07-11,SKU-A,117
2023-07-12,SKU-A,104
2023-07-13,SKU-A,75
2023-07-14,SKU-A,103
2023-07-15,SKU-A,107
2023-07-16,SKU-A,82
2023-07-17,SKU-A,103
2023-07-18,SKU-A,101
2023-07-19,SKU-A,77
2023-07-20,SKU-A,107
2023-07-21,SKU-A,111
2023-07-22,SKU-A,121
2023-07-23,SKU-A,121
2023-07-24,SKU-A,72
2023-07-25,SKU-A,81
2023-07-26,SKU-A,110
2023-07-27,SKU-A,110
2023-07-28,SKU-A,110
2023-07-29,SKU-A,177
2023-07-30,SKU-A,111
2023-07-31,SKU-A,122
2023-08-01,SKU-A,119
2023-08-02,SKU-A,113
2023-08-03,SKU-A,93
2023-08-04,SKU-A,115
2023-08-05,SKU-A,84
2023-08-06,SKU-A,95
2023-08-07,SKU-A,90
2023-08-08,SKU-A,101
2023-08-09,SKU-A,146
2023-08-10,SKU-A,62
2023-08-11,SKU-A,113
2023-08-12,SKU-A,67
2023-08-13,SKU-A,90
2023-08-14,SKU-A,121
2023-08-15,SKU-A,101
2023-08-16,SKU-A,78
2023-08-17,SKU-A,85
2023-08-18,SKU-A,113
2023-08-19,SKU-A,85
2023-08-20,SKU-A,104
2023-08-21,SKU-A,100
2023-08-22,SKU-A,86
2023-08-23,SKU-A,142
2023-08-24,SKU-A,112
2023-08-25,SKU-A,59
2023-08-26,SKU-A,103
2023-08-27,SKU-A,86
2023-08-28,SKU-A,117
2023-08-29,SKU-A,84
2023-08-30,SKU-A,97
2023-08-31,SKU-A,110
2023-09-01,SKU-A,117
2023-09-02,SKU-A,75
2023-09-03,SKU-A,93
2023-09-04,SKU-A,90
2023-09-05,SKU-A,86
2023-09-06,SKU-A,135
2023-09-07,SKU-A,108
2023-09-08,SKU-A,74
2023-09-09,SKU-A,118
2023-09-10,SKU-A,142
2023-09-11,SKU-A,120
2023-09-12,SKU-A,69
2023-09-13,SKU-A,90
2023-09-14,SKU-A,125
2023-09-15,SKU-A,85
2023-09-16,SKU-A,108
2023-09-17,SKU-A,115
2023-09-18,SKU-A,81
2023-09-19,SKU-A,98
2023-09-20,SKU-A,35
2023-09-21,SKU-A,79
2023-09-22,SKU-A,94
2023-09-23,SKU-A,75
2023-09-24,SKU-A,132
2023-09-25,SKU-A,71
2023-09-26,SKU-A,91
2023-09-27,SKU-A,102
2023-09-28,SKU-A,128
2023-09-29,SKU-A,71
2023-09-30,SKU-A,123
2023-10-01,SKU-A,100
2023-10-02,SKU-A,80
2023-10-03,SKU-A,109
2023-10-04,SKU-A,103
2023-10-05,SKU-A,87
2023-10-06,SKU-A,101
2023-10-07,SKU-A,92
2023-10-08,SKU-A,102
2023-10-09,SKU-A,113
2023-10-10,SKU-A,131
2023-10-11,SKU-A,75
2023-10-12,SKU-A,142
2023-10-13,SKU-A,60
2023-10-14,SKU-A,96
2023-10-15,SKU-A,111
2023-10-16,SKU-A,105
2023-10-17,SKU-A,87
2023-10-18,SKU-A,95
2023-10-19,SKU-A,90
2023-10-20,SKU-A,88
2023-10-21,SKU-A,116
2023-10-22,SKU-A,107
2023-10-23,SKU-A,86
2023-10-24,SKU-A,117
2023-10-25,SKU-A,106
2023-10-26,SKU-A,116
2023-10-27,SKU-A,112
2023-10-28,SKU-A,83
2023-10-29,SKU-A,88
2023-10-30,SKU-A,114
2023-10-31,SKU-A,112
2023-11-01,SKU-A,99
2023-11-02,SKU-A,102
2023-11-03,SKU-A,125
2023-11-04,SKU-A,88
2023-11-05,SKU-A,110
2023-11-06,SKU-A,95
2023-11-07,SKU-A,95
2023-11-08,SKU-A,121
2023-11-09,SKU-A,116
2023-11-10,SKU-A,116
2023-11-11,SKU-A,126
2023-11-12,SKU-A,100
2023-11-13,SKU-A,113
2023-11-14,SKU-A,93
2023-11-15,SKU-A,106
2023-11-16,SKU-A,97
2023-11-17,SKU-A,101
2023-11-18,SKU-A,111
2023-11-19,SKU-A,83
2023-11-20,SKU-A,141
2023-11-21,SKU-A,79
2023-11-22,SKU-A,75
2023-11-23,SKU-A,123
2023-11-24,SKU-A,115
2023-11-25,SKU-A,112
2023-11-26,SKU-A,112
2023-11-27,SKU-A,99
2023-11-28,SKU-A,82
2023-11-29,SKU-A,101
2023-11-30,SKU-A,86
2023-12-01,SKU-A,119
2023-12-02,SKU-A,97
2023-12-03,SKU-A,83
2023-12-04,SKU-A,93
2023-12-05,SKU-A,108
2023-12-06,SKU-A,88
2023-12-07,SKU-A,83
2023-12-08,SKU-A,104
2023-12-09,SKU-A,104
2023-12-10,SKU-A,89
2023-12-11,SKU-A,90
2023-12-12,SKU-A,104
2023-12-13,SKU-A,71
2023-12-14,SKU-A,71
2023-12-15,SKU-A,85
2023-12-16,SKU-A,95
2023-12-17,SKU-A,106
2023-12-18,SKU-A,129
2023-12-19,SKU-A,117
2023-12-20,SKU-A,96
2023-12-21,SKU-A,99
2023-12-22,SKU-A,79
2023-12-23,SKU-A,99
2023-12-24,SKU-A,94
2023-12-25,SKU-A,106
2023-12-26,SKU-A,83
2023-12-27,SKU-A,110
2023-12-28,SKU-A,130
2023-12-29,SKU-A,97
2023-12-30,SKU-A,108
2023-12-31,SKU-A,113
2023-01-01,SKU-B,91
2023-01-02,SKU-B,104
2023-01-03,SKU-B,100
2023-01-04,SKU-B,101
2023-01-05,SKU-B,84
2023-01-06,SKU-B,100
2023-01-07,SKU-B,109
2023-01-08,SKU-B,129
2023-01-09,SKU-B,119
2023-01-10,SKU-B,143
2023-01-11,SKU-B,84
2023-01-12,SKU-B,117
2023-01-13,SKU-B,103
2023-01-14,SKU-B,143
2023-01-15,SKU-B,83
2023-01-16,SKU-B,83
2023-01-17,SKU-B,88
2023-01-18,SKU-B,57
2023-01-19,SKU-B,89
2023-01-20,SKU-B,84
2023-01-21,SKU-B,103
2023-01-22,SKU-B,106
2023-01-23,SKU-B,137
2023-01-24,SKU-B,119
2023-01-25,SKU-B,88
2023-01-26,SKU-B,82
2023-01-27,SKU-B,109
2023-01-28,SKU-B,73
2023-01-29,SKU-B,136
2023-01-30,SKU-B,123
2023-01-31,SKU-B,90
2023-02-01,SKU-B,65
2023-02-02,SKU-B,127
2023-02-03,SKU-B,97
2023-02-04,SKU-B,124
2023-02-05,SKU-B,68
2023-02-06,SKU-B,88
2023-02-07,SKU-B,100
2023-02-08,SKU-B,100
2023-02-09,SKU-B,90
2023-02-10,SKU-B,112
2023-02-11,SKU-B,78
2023-02-12,SKU-B,97
2023-02-13,SKU-B,102
2023-02-14,SKU-B,110
2023-02-15,SKU-B,114
2023-02-16,SKU-B,77
2023-02-17,SKU-B,69
2023-02-18,SKU-B,125
2023-02-19,SKU-B,106
2023-02-20,SKU-B,85
2023-02-21,SKU-B,131
2023-02-22,SKU-B,102
2023-02-23,SKU-B,123
2023-02-24,SKU-B,101
2023-02-25,SKU-B,141
2023-02-26,SKU-B,135
2023-02-27,SKU-B,95
2023-02-28,SKU-B,119
2023-03-01,SKU-B,112
2023-03-02,SKU-B,127
2023-03-03,SKU-B,80
2023-03-04,SKU-B,113
2023-03-05,SKU-B,121
2023-03-06,SKU-B,64
2023-03-07,SKU-B,76
2023-03-08,SKU-B,59
2023-03-09,SKU-B,94
2023-03-10,SKU-B,114
2023-03-11,SKU-B,130
2023-03-12,SKU-B,101
2023-03-13,SKU-B,132
2023-03-14,SKU-B,72
2023-03-15,SKU-B,65
2023-03-16,SKU-B,98
2023-03-17,SKU-B,107
2023-03-18,SKU-B,99
2023-03-19,SKU-B,58
2023-03-20,SKU-B,98
2023-03-21,SKU-B,73
2023-03-22,SKU-B,113
2023-03-23,SKU-B,107
2023-03-24,SKU-B,81
2023-03-25,SKU-B,89
2023-03-26,SKU-B,78
2023-03-27,SKU-B,98
2023-03-28,SKU-B,119
2023-03-29,SKU-B,80
2023-03-30,SKU-B,110
2023-03-31,SKU-B,89
2023-04-01,SKU-B,84
2023-04-02,SKU-B,97
2023-04-03,SKU-B,79
2023-04-04,SKU-B,88
2023-04-05,SKU-B,76
2023-04-06,SKU-B,139
2023-04-07,SKU-B,100
2023-04-08,SKU-B,86
2023-04-09,SKU-B,104
2023-04-10,SKU-B,97
2023-04-11,SKU-B,95
2023-04-12,SKU-B,112
2023-04-13,SKU-B,115
2023-04-14,SKU-B,89
2023-04-15,SKU-B,88
2023-04-16,SKU-B,94
2023-04-17,SKU-B,53
2023-04-18,SKU-B,69
2023-04-19,SKU-B,127
2023-04-20,SKU-B,132
2023-04-21,SKU-B,95
2023-04-22,SKU-B,111
2023-04-23,SKU-B,106
2023-04-24,SKU-B,161
2023-04-25,SKU-B,122
2023-04-26,SKU-B,97
2023-04-27,SKU-B,80
2023-04-28,SKU-B,67
2023-04-29,SKU-B,104
2023-04-30,SKU-B,84
2023-05-01,SKU-B,71
2023-05-02,SKU-B,87
2023-05-03,SKU-B,78
2023-05-04,SKU-B,133
2023-05-05,SKU-B,117
2023-05-06,SKU-B,99
2023-05-07,SKU-B,129
2023-05-08,SKU-B,101
2023-05-09,SKU-B,82
2023-05-10,SKU-B,130
2023-05-11,SKU-B,110
2023-05-12,SKU-B,79
2023-05-13,SKU-B,96
2023-05-14,SKU-B,82
2023-05-15,SKU-B,72
2023-05-16,SKU-B,118
2023-05-17,SKU-B,138
2023-05-18,SKU-B,72
2023-05-19,SKU-B,111
2023-05-20,SKU-B,86
2023-05-21,SKU-B,90
2023-05-22,SKU-B,88
2023-05-23,SKU-B,82
2023-05-24,SKU-B,100
2023-05-25,SKU-B,83
2023-05-26,SKU-B,105
2023-05-27,SKU-B,98
2023-05-28,SKU-B,95
2023-05-29,SKU-B,81
2023-05-30,SKU-B,88
2023-05-31,SKU-B,115
2023-06-01,SKU-B,110
2023-06-02,SKU-B,80
2023-06-03,SKU-B,101
2023-06-04,SKU-B,115
2023-06-05,SKU-B,66
2023-06-06,SKU-B,110
2023-06-07,SKU-B,86
2023-06-08,SKU-B,111
2023-06-09,SKU-B,84
2023-06-10,SKU-B,63
2023-06-11,SKU-B,67
2023-06-12,SKU-B,100
2023-06-13,SKU-B,105
2023-06-14,SKU-B,81
2023-06-15,SKU-B,112
2023-06-16,SKU-B,66
2023-06-17,SKU-B,98
2023-06-18,SKU-B,75
2023-06-19,SKU-B,86
2023-06-20,SKU-B,100
2023-06-21,SKU-B,82
2023-06-22,SKU-B,92
2023-06-23,SKU-B,120
2023-06-24,SKU-B,88
2023-06-25,SKU-B,116
2023-06-26,SKU-B,77
2023-06-27,SKU-B,110
2023-06-28,SKU-B,128
2023-06-29,SKU-B,50
2023-06-30,SKU-B,84
2023-07-01,SKU-B,111
2023-07-02,SKU-B,95
2023-07-03,SKU-B,107
2023-07-04,SKU-B,87
2023-07-05,SKU-B,101
2023-07-06,SKU-B,96
2023-07-07,SKU-B,123
2023-07-08,SKU-B,105
2023-07-09,SKU-B,106
2023-07-10,SKU-B,91
2023-07-11,SKU-B,90
2023-07-12,SKU-B,91
2023-07-13,SKU-B,107
2023-07-14,SKU-B,91
2023-07-15,SKU-B,105
2023-07-16,SKU-B,141
2023-07-17,SKU-B,117
2023-07-18,SKU-B,93
2023-07-19,SKU-B,124
2023-07-20,SKU-B,91
2023-07-21,SKU-B,59
2023-07-22,SKU-B,79
2023-07-23,SKU-B,62
2023-07-24,SKU-B,92
2023-07-25,SKU-B,100
2023-07-26,SKU-B,133
2023-07-27,SKU-B,106
2023-07-28,SKU-B,95
2023-07-29,SKU-B,116
2023-07-30,SKU-B,55
2023-07-31,SKU-B,104
2023-08-01,SKU-B,115
2023-08-02,SKU-B,70
2023-08-03,SKU-B,122
2023-08-04,SKU-B,106
2023-08-05,SKU-B,91
2023-08-06,SKU-B,112
2023-08-07,SKU-B,145
2023-08-08,SKU-B,103
2023-08-09,SKU-B,104
2023-08-10,SKU-B,90
2023-08-11,SKU-B,83
2023-08-12,SKU-B,116
2023-08-13,SKU-B,82
2023-08-14,SKU-B,101
2023-08-15,SKU-B,90
2023-08-16,SKU-B,109
2023-08-17,SKU-B,106
2023-08-18,SKU-B,120
2023-08-19,SKU-B,89
2023-08-20,SKU-B,94
2023-08-21,SKU-B,80
2023-08-22,SKU-B,91
2023-08-23,SKU-B,107
2023-08-24,SKU-B,115
2023-08-25,SKU-B,81
2023-08-26,SKU-B,117
2023-08-27,SKU-B,127
2023-08-28,SKU-B,108
2023-08-29,SKU-B,137
2023-08-30,SKU-B,84
2023-08-31,SKU-B,75
2023-09-01,SKU-B,64
2023-09-02,SKU-B,129
2023-09-03,SKU-B,113
2023-09-04,SKU-B,98
2023-09-05,SKU-B,105
2023-09-06,SKU-B,77
2023-09-07,SKU-B,148
2023-09-08,SKU-B,102
2023-09-09,SKU-B,102
2023-09-10,SKU-B,114
2023-09-11,SKU-B,109
2023-09-12,SKU-B,104
2023-09-13,SKU-B,84
2023-09-14,SKU-B,109
2023-09-15,SKU-B,137
2023-09-16,SKU-B,126
2023-09-17,SKU-B,131
2023-09-18,SKU-B,89
2023-09-19,SKU-B,80
2023-09-20,SKU-B,97
2023-09-21,SKU-B,101
2023-09-22,SKU-B,121
2023-09-23,SKU-B,66
2023-09-24,SKU-B,130
2023-09-25,SKU-B,96
2023-09-26,SKU-B,91
2023-09-27,SKU-B,79
2023-09-28,SKU-B,66
2023-09-29,SKU-B,116
2023-09-30,SKU-B,101
2023-10-01,SKU-B,74
2023-10-02,SKU-B,74
2023-10-03,SKU-B,93
2023-10-04,SKU-B,133
2023-10-05,SKU-B,94
2023-10-06,SKU-B,69
2023-10-07,SKU-B,95
2023-10-08,SKU-B,94
2023-10-09,SKU-B,46
2023-10-10,SKU-B,98
2023-10-11,SKU-B,95
2023-10-12,SKU-B,113
2023-10-13,SKU-B,136
2023-10-14,SKU-B,122
2023-10-15,SKU-B,94
2023-10-16,SKU-B,77
2023-10-17,SKU-B,151
2023-10-18,SKU-B,101
2023-10-19,SKU-B,100
2023-10-20,SKU-B,99
2023-10-21,SKU-B,103
2023-10-22,SKU-B,97
2023-10-23,SKU-B,88
2023-10-24,SKU-B,89
2023-10-25,SKU-B,99
2023-10-26,SKU-B,89
2023-10-27,SKU-B,85
2023-10-28,SKU-B,102
2023-10-29,SKU-B,94
2023-10-30,SKU-B,130
2023-10-31,SKU-B,46
2023-11-01,SKU-B,121
2023-11-02,SKU-B,124
2023-11-03,SKU-B,58
2023-11-04,SKU-B,93
2023-11-05,SKU-B,92
2023-11-06,SKU-B,71
2023-11-07,SKU-B,84
2023-11-08,SKU-B,77
2023-11-09,SKU-B,135
2023-11-10,SKU-B,118
2023-11-11,SKU-B,125
2023-11-12,SKU-B,114
2023-11-13,SKU-B,77
2023-11-14,SKU-B,89
2023-11-15,SKU-B,109
2023-11-16,SKU-B,75
2023-11-17,SKU-B,114
2023-11-18,SKU-B,95
2023-11-19,SKU-B,92
2023-11-20,SKU-B,114
2023-11-21,SKU-B,108
2023-11-22,SKU-B,92
2023-11-23,SKU-B,123
2023-11-24,SKU-B,78
2023-11-25,SKU-B,112
2023-11-26,SKU-B,111
2023-11-27,SKU-B,93
2023-11-28,SKU-B,106
2023-11-29,SKU-B,74
2023-11-30,SKU-B,118
2023-12-01,SKU-B,96
2023-12-02,SKU-B,89
2023-12-03,SKU-B,120
2023-12-04,SKU-B,85
2023-12-05,SKU-B,71
2023-12-06,SKU-B,68
2023-12-07,SKU-B,112
2023-12-08,SKU-B,74
2023-12-09,SKU-B,135
2023-12-10,SKU-B,58
2023-12-11,SKU-B,133
2023-12-12,SKU-B,104
2023-12-13,SKU-B,98
2023-12-14,SKU-B,89
2023-12-15,SKU-B,107
2023-12-16,SKU-B,99
2023-12-17,SKU-B,122
2023-12-18,SKU-B,102
2023-12-19,SKU-B,103
2023-12-20,SKU-B,92
2023-12-21,SKU-B,98
2023-12-22,SKU-B,106
2023-12-23,SKU-B,65
2023-12-24,SKU-B,73
2023-12-25,SKU-B,114
2023-12-26,SKU-B,103
2023-12-27,SKU-B,96
2023-12-28,SKU-B,100
2023-12-29,SKU-B,106
2023-12-30,SKU-B,89
2023-12-31,SKU-B,84
2023-01-01,SKU-C,103
2023-01-02,SKU-C,80
2023-01-03,SKU-C,108
2023-01-04,SKU-C,65
2023-01-05,SKU-C,120
2023-01-06,SKU-C,109
2023-01-07,SKU-C,105
2023-01-08,SKU-C,119
2023-01-09,SKU-C,133
2023-01-10,SKU-C,120
2023-01-11,SKU-C,63
2023-01-12,SKU-C,74
2023-01-13,SKU-C,87
2023-01-14,SKU-C,100
2023-01-15,SKU-C,110
2023-01-16,SKU-C,85
2023-01-17,SKU-C,103
2023-01-18,SKU-C,84
2023-01-19,SKU-C,87
2023-01-20,SKU-C,71
2023-01-21,SKU-C,81
2023-01-22,SKU-C,72
2023-01-23,SKU-C,80
2023-01-24,SKU-C,121
2023-01-25,SKU-C,81
2023-01-26,SKU-C,152
2023-01-27,SKU-C,109
2023-01-28,SKU-C,103
2023-01-29,SKU-C,82
2023-01-30,SKU-C,114
2023-01-31,SKU-C,88
2023-02-01,SKU-C,102
2023-02-02,SKU-C,151
2023-02-03,SKU-C,98
2023-02-04,SKU-C,122
2023-02-05,SKU-C,85
2023-02-06,SKU-C,99
2023-02-07,SKU-C,135
2023-02-08,SKU-C,87
2023-02-09,SKU-C,136
2023-02-10,SKU-C,114
2023-02-11,SKU-C,88
2023-02-12,SKU-C,112
2023-02-13,SKU-C,119
2023-02-14,SKU-C,112
2023-02-15,SKU-C,68
2023-02-16,SKU-C,85
2023-02-17,SKU-C,95
2023-02-18,SKU-C,98
2023-02-19,SKU-C,112
2023-02-20,SKU-C,103
