date,sku,sales
2024-01-01,SKU_001,105.78
2024-01-02,SKU_001,125.24
2024-01-03,SKU_001,121.24
2024-01-04,SKU_001,100.87
2024-01-05,SKU_001,102.6
2024-01-06,SKU_001,88.81
2024-01-07,SKU_001,92.32
2024-01-08,SKU_001,107.67
2024-01-09,SKU_001,121.18
2024-01-10,SKU_001,132.21
2024-01-11,SKU_001,119.22
2024-01-12,SKU_001,100.65
2024-01-13,SKU_001,84.74
2024-01-14,SKU_001,85.46
2024-01-15,SKU_001,108.74
2024-01-16,SKU_001,130.34
2024-01-17,SKU_001,122.59
2024-01-18,SKU_001,112.65
2024-01-19,SKU_001,104.2
2024-01-20,SKU_001,78.58
2024-01-21,SKU_001,91.41
2024-01-22,SKU_001,110.78
2024-01-23,SKU_001,126.56
2024-01-24,SKU_001,120.13
2024-01-25,SKU_001,116.73
2024-01-26,SKU_001,101.74
2024-01-27,SKU_001,97.63
2024-01-28,SKU_001,84.53
2024-01-29,SKU_001,111.39
2024-01-30,SKU_001,106.12
2024-01-31,SKU_001,99.77
2024-02-01,SKU_001,108.29
2024-02-02,SKU_001,91.75
2024-02-03,SKU_001,98.38
2024-02-04,SKU_001,99.66
2024-02-05,SKU_001,96.09
2024-02-06,SKU_001,126.24
2024-02-07,SKU_001,113.53
2024-02-08,SKU_001,112.68
2024-02-09,SKU_001,97.01
2024-02-10,SKU_001,91.83
2024-02-11,SKU_001,100.93
2024-02-12,SKU_001,111.9
2024-02-13,SKU_001,121.95
2024-02-14,SKU_001,127.59
2024-02-15,SKU_001,117.46
2024-02-16,SKU_001,94.12
2024-02-17,SKU_001,84.68
2024-02-18,SKU_001,89.88
2024-02-19,SKU_001,110.66
2024-02-20,SKU_001,116.78
2024-02-21,SKU_001,141.94
2024-02-22,SKU_001,106.33
2024-02-23,SKU_001,90.04
2024-02-24,SKU_001,97.32
2024-02-25,SKU_001,105.98
2024-02-26,SKU_001,110.67
2024-02-27,SKU_001,126.0
2024-02-28,SKU_001,134.13
2024-02-29,SKU_001,112.48
2024-03-01,SKU_001,87.23
2024-03-02,SKU_001,86.17
2024-03-03,SKU_001,101.93
2024-03-04,SKU_001,93.98
2024-03-05,SKU_001,119.1
2024-03-06,SKU_001,124.06
2024-03-07,SKU_001,110.54
2024-03-08,SKU_001,105.51
2024-03-09,SKU_001,95.62
2024-03-10,SKU_001,113.57
2024-03-11,SKU_001,111.55
