date,sku,sales
2023-01-01,SKU-A001,249.49
2023-01-02,SKU-A001,266.53
2023-01-03,SKU-A001,249.09
2023-01-04,SKU-A001,220.31
2023-01-05,SKU-A001,258.68
2023-01-06,SKU-A001,246.06
2023-01-07,SKU-A001,247.09
2023-01-08,SKU-A001,254.04
2023-01-09,SKU-A001,256.45
2023-01-10,SKU-A001,275.97
2023-01-11,SKU-A001,265.3
2023-01-12,SKU-A001,253.81
2023-01-13,SKU-A001,235.96
2023-01-14,SKU-A001,230.13
2023-01-15,SKU-A001,256.56
2023-01-16,SKU-A001,278.88
2023-01-17,SKU-A001,252.21
2023-01-18,SKU-A001,249.07
2023-01-19,SKU-A001,262.43
2023-01-20,SKU-A001,220.73
2023-01-21,SKU-A001,244.65
2023-01-22,SKU-A001,261.47
2023-01-23,SKU-A001,269.47
2023-01-24,SKU-A001,246.06
2023-01-25,SKU-A001,258.99
2023-01-26,SKU-A001,256.26
2023-01-27,SKU-A001,267.44
2023-01-28,SKU-A001,227.63
2023-01-29,SKU-A001,262.88
2023-01-30,SKU-A001,219.14
2023-01-31,SKU-A001,195.92
2023-02-01,SKU-A001,196.32
2023-02-02,SKU-A001,189.81
2023-02-03,SKU-A001,227.39
2023-02-04,SKU-A001,222.92
2023-02-05,SKU-A001,183.37
2023-02-06,SKU-A001,226.71
2023-02-07,SKU-A001,187.87
2023-02-08,SKU-A001,207.06
2023-02-09,SKU-A001,202.68
2023-02-10,SKU-A001,211.22
2023-02-11,SKU-A001,225.98
2023-02-12,SKU-A001,222.17
2023-02-13,SKU-A001,216.09
2023-02-14,SKU-A001,222.36
2023-02-15,SKU-A001,218.73
2023-02-16,SKU-A001,195.51
2023-02-17,SKU-A001,193.59
2023-02-18,SKU-A001,198.75
2023-02-19,SKU-A001,219.07
2023-02-20,SKU-A001,203.31
2023-02-21,SKU-A001,257.55
2023-02-22,SKU-A001,191.32
2023-02-23,SKU-A001,185.42
2023-02-24,SKU-A001,224.59
2023-02-25,SKU-A001,238.27
2023-02-26,SKU-A001,219.02
2023-02-27,SKU-A001,225.92
2023-02-28,SKU-A001,238.29
2023-03-01,SKU-A001,206.36
2023-03-02,SKU-A001,178.44
2023-03-03,SKU-A001,197.11
2023-03-04,SKU-A001,228.25
2023-03-05,SKU-A001,177.93
2023-03-06,SKU-A001,208.9
2023-03-07,SKU-A001,213.49
2023-03-08,SKU-A001,201.53
2023-03-09,SKU-A001,223.31
2023-03-10,SKU-A001,220.29
2023-03-11,SKU-A001,256.79
2023-03-12,SKU-A001,221.06
2023-03-13,SKU-A001,195.23
2023-03-14,SKU-A001,196.2
2023-03-15,SKU-A001,190.52
2023-03-16,SKU-A001,227.93
2023-03-17,SKU-A001,196.02
2023-03-18,SKU-A001,206.42
2023-03-19,SKU-A001,223.59
